rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.8551948070526123,success,0.005051851272583008,0.38_0.59_0.31_0.42_0.0,0.65_0.59_0.56_0.59_0.6,0.13418636322021485,0.3397727272727273,0.63,0.97,0.35,0.49,0.6002380952380952,1746733754.0991495,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,5,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,2.4554250240325928,success,0.00425410270690918,0.0_0.4_0.42_0.4_0.42,0.66_0.68_0.69_0.66_0.65,0.4533653259277344,0.3266666666666667,0.59,0.63,0.51,0.69,0.67,1746733753.1274076,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,tanh
NearMiss,1,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,100,0.1,,SelectKBest,,8,133.04166388511658,success,0.00819082260131836,0.79_0.62_0.64_0.2_0.72,0.56_0.6_0.5_0.61_0.51,11.86293134689331,0.5938871622204955,0.66,0.81,0.73,0.73,0.5566666666666666,1746733750.5734804,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,10,2.0,,PCA,2,,80.81727766990662,success,0.009325408935546875,0.42_0.31_0.65_0.58_0.0,0.55_0.55_0.55_0.52_0.5,16.122136449813844,0.3918576741041245,0.51,0.91,0.43,0.73,0.5333333333333334,1746733615.9718966,,RandomForestClassifier,,,,,10,6,,6,3,4,,entropy,False,,
SMOTE,,8,features_mitigation_rebalancing_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,1.0,100,0.5,,FunctionTransformer,,,44.824379205703735,success,0.007785177230834961,0.4_1.0_1.0_1.0_0.93,0.45_0.5_0.5_0.5_0.5,8.923338031768798,0.8657142857142857,0.95,0.87,0.99,0.94,0.48904761904761906,1746733535.0432172,,MLPClassifier,sgd,5,,10,,,,,,,constant,,,1e-05,relu
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,100,2.0,,FunctionTransformer,,,53.02693819999695,success,0.014037227630615235,1.0_0.75_0.97_0.83_1.0,0.5_0.56_0.5_0.52_0.5,10.550240278244019,0.9097701149425287,0.94,1.0,0.92,0.96,0.516904761904762,1746733490.1071272,,RandomForestClassifier,,,,,100,2,,5,4,1,,gini,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,0.3170032501220703,success,0.005440711975097656,0.83_0.75_0.99_0.83_0.93,0.52_0.54_0.5_0.52_0.52,0.022369956970214842,0.8670402298850576,0.94,1.0,0.88,0.96,0.5197619047619048,1746733436.95104,,RandomForestClassifier,,,,,10,4,,4,1,3,,gini,True,,
SMOTE,,6,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.5,,FunctionTransformer,,,66.94193649291992,success,0.10722432136535645,0.85_0.66_1.0_0.52_0.26,0.56_0.47_0.5_0.52_0.51,13.145282363891601,0.6563433035506538,0.77,0.87,0.68,0.89,0.5104761904761904,1746733436.5491908,distance,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.6098365783691406,success,0.00589137077331543,0.93_1.0_1.0_0.83_1.0,0.52_0.5_0.5_0.51_0.5,0.08083181381225586,0.9528735632183908,0.97,1.0,0.97,1.0,0.5059523809523809,1746733369.5069315,,RandomForestClassifier,,,,,50,2,,4,3,3,,entropy,True,,
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,7,108.46652913093567,success,0.010322284698486329,0.42_0.31_0.62_0.39_0.5,0.61_0.55_0.54_0.51_0.55,13.397922611236572,0.4477490421455939,0.58,0.98,0.47,0.7,0.5507142857142858,1746733368.7912743,,MLPClassifier,adam,50,,20,,,,,,,adaptive,,,0.001,logistic
