rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,7.152557373046875e-06,already_evaluated,0.02752509117126465,0.42_0.25_0.0_0.54_0.21,0.63_0.64_0.62_0.62_0.67,80.49480924606323,0.2849757846805574,0.53,0.6,0.68,0.8,0.3,0.68,0.7,0.6366176035546823,1746711075.4069343,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.1,,SelectKBest,,7,5.245208740234375e-06,already_evaluated,0.2766068935394287,0.0_0.0_0.0_0.41_0.0,0.51_0.53_0.52_0.51_0.51,64.66897339820862,0.08135048231511254,0.61,0.5,0.49,0.59,0.18,0.65,0.46,0.5161259390195657,1746711075.4324095,uniform,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,3.337860107421875e-06,already_evaluated,0.018859243392944335,0.56_0.64_0.61_0.27_0.54,0.65_0.62_0.61_0.61_0.61,67.09518747329712,0.5254439849722675,0.73,0.72,0.77,0.85,0.53,0.82,0.77,0.6232198832649185,1746711075.455916,,RandomForestClassifier,,,,,50,6,,5,1,3,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,3.0994415283203125e-06,already_evaluated,1.0405550956726075,0.09_0.19_0.1_0.1_0.3,0.67_0.66_0.65_0.68_0.66,0.03135337829589844,0.15548483885797598,0.4,0.39,0.5,1.0,0.16,0.43,0.42,0.6656167307347565,1746711075.4803455,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,3.814697265625e-06,already_evaluated,0.016274309158325194,0.26_0.39_0.0_0.3_0.25,0.68_0.7_0.69_0.69_0.67,1.4091583251953126,0.23911797852199515,0.51,0.6,0.58,0.99,0.25,0.6,0.67,0.6868281492474073,1746711075.5071473,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.5,PCA,4,,1.7291576862335205,success,0.007017707824707032,0.36_0.07_0.0_0.16_0.41,0.65_0.65_0.63_0.64_0.65,0.26685614585876466,0.19890471288773892,0.44,0.53,0.55,1.0,0.27,0.41,0.38,0.6434341322740952,1746711078.1311617,,RandomForestClassifier,,,,,10,6,,4,2,3,,gini,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,100,1.0,,PCA,6,,23.99074935913086,success,0.02194061279296875,0.43_0.64_0.61_0.27_0.54,0.63_0.63_0.61_0.61_0.61,4.707325220108032,0.500156338915627,0.7,0.71,0.75,0.83,0.51,0.79,0.73,0.6192892109523156,1746711102.1547382,,RandomForestClassifier,,,,,50,6,,6,3,4,,entropy,False,,
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,PCA,5,,2.8610405921936035,success,0.008116960525512695,0.47_0.2_0.0_0.16_0.29,0.65_0.68_0.65_0.64_0.67,0.5024302959442138,0.22248812398428602,0.48,0.68,0.62,0.9,0.29,0.63,0.59,0.6581348535295011,1746711105.046621,,RandomForestClassifier,,,,,25,6,,3,2,4,,entropy,False,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.75,PCA,4,,3.087160587310791,success,0.012025976181030273,0.34_0.27_0.0_0.31_0.38,0.66_0.66_0.64_0.64_0.65,0.5439362049102783,0.26191554465399436,0.58,0.65,0.57,0.95,0.34,0.49,0.48,0.6479005883477964,1746711108.1653445,,RandomForestClassifier,,,,,50,6,,6,1,5,,gini,False,,
NearMiss,3,,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,200,2.0,,FunctionTransformer,,,25.537562608718872,fail,0.5194848060607911,nan_0.0_0.0_0.0_0.0,0.5_0.51_0.51_0.5_0.51,4.015391492843628,-inf,0.19,0.16,0.32,0.38,0.2,0.21,0.56,0.5051606328472218,1746711133.738992,uniform,KNeighborsClassifier,,,6,,,,manhattan,,,,,,,,
NearMiss,4,,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,2,2.995750904083252,success,0.011986207962036134,0.28_0.2_0.0_0.2_0.0,0.65_0.65_0.64_0.63_0.64,0.2972599506378174,0.1359146904850059,0.49,0.64,0.67,0.92,0.15,0.54,0.55,0.6423131560738057,1746711136.7722237,,RandomForestClassifier,,,,,75,5,,6,4,1,,entropy,False,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.25,PCA,2,,6.482980251312256,success,0.00595698356628418,0.35_0.13_0.0_0.17_0.11,0.64_0.63_0.63_0.64_0.63,1.2344675064086914,0.15304834272841725,0.58,0.71,0.81,0.93,0.15,0.49,0.5,0.6342333428438461,1746711143.2923746,,MLPClassifier,adam,10,,1,,,,,,,invscaling,,,0.01,relu
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.5,PCA,2,,5.336066007614136,success,0.013600397109985351,0.27_0.05_0.0_0.0_0.0,0.65_0.64_0.64_0.63_0.63,0.9895213127136231,0.06391532208328837,0.25,0.36,0.38,1.0,0.08,0.26,0.24,0.6389563564216421,1746711148.66437,,RandomForestClassifier,,,,,75,6,,4,2,3,,gini,False,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.25,PCA,2,,0.49658870697021484,success,0.01561422348022461,0.37_0.18_0.35_0.26_0.0,0.61_0.61_0.6_0.6_0.59,0.01475367546081543,0.23423335759930422,0.57,0.61,0.68,1.0,0.23,0.56,0.47,0.6027029883767707,1746711149.9132168,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,PCA,4,,2.2375385761260986,success,0.008809709548950195,0.15_0.16_0.0_0.0_0.0,0.65_0.64_0.63_0.63_0.63,0.3758803367614746,0.061664566267590835,0.37,0.51,0.56,0.99,0.06,0.24,0.25,0.6361605144240341,1746711152.1868536,,RandomForestClassifier,,,,,50,3,,6,2,1,,gini,False,,
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,1.0,,PCA,7,,23.075538635253906,success,0.017852020263671876,0.34_0.28_0.53_0.23_0.58,0.63_0.62_0.62_0.64_0.63,4.531691980361939,0.39141535893649754,0.57,0.68,0.76,0.8,0.41,0.77,0.71,0.6277901640845022,1746711175.3008993,,RandomForestClassifier,,,,,50,4,,4,3,5,,entropy,False,,
SMOTE,,6,features_mitigation_rebalancing_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,200,2.0,,FunctionTransformer,,,22.443950176239014,success,0.013935089111328125,0.98_0.71_0.56_0.5_0.2,0.5_0.63_0.6_0.62_0.64,4.40775351524353,0.5911083741817729,0.82,0.78,0.85,0.88,0.59,0.87,0.79,0.5993157449986748,1746711197.7870843,,RandomForestClassifier,,,,,10,4,,5,2,3,,gini,False,,
NearMiss,2,,mitigation_rebalancing_features_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,2,,23.65067720413208,success,0.01562533378601074,0.36_0.24_0.55_0.55_0.0,0.64_0.65_0.6_0.62_0.64,4.65076174736023,0.34130865255011755,0.58,0.7,0.77,0.84,0.36,0.76,0.7,0.6295113297394789,1746711221.4901626,,RandomForestClassifier,,,,,10,4,,4,2,3,,entropy,False,,
