rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,2.0,,PCA,1,,5.9604644775390625e-06,already_evaluated,0.19227004051208496,0.48_0.0_0.26_0.11_0.52,0.51_0.51_0.51_0.5_0.51,10.05660285949707,0.2721291679680017,0.47,0.68,0.83,0.8,0.62,0.75,0.74,0.5084783411171979,1746710912.7861853,uniform,KNeighborsClassifier,,,3,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,0.5,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.014544439315795899,0.99_0.65_0.76_0.54_0.32,0.51_0.63_0.63_0.61_0.64,7.694159364700317,0.6518075416593783,0.82,0.79,0.87,0.99,0.69,0.91,0.82,0.6018455892251271,1746710912.8228574,,RandomForestClassifier,,,,,25,2,,5,1,2,,entropy,True,,
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.03456282615661621,0.48_0.56_0.69_0.75_0.28,0.63_0.64_0.62_0.62_0.67,12.517517328262329,0.5523107423645883,0.74,0.71,0.8,1.0,0.58,0.8,0.75,0.6366176035546823,1746710912.8594823,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.1,,SelectKBest,,7,4.76837158203125e-06,already_evaluated,0.2330775737762451,0.0_0.27_0.0_0.58_0.0,0.51_0.53_0.52_0.51_0.51,7.151121807098389,0.17040549394549737,0.74,0.68,0.66,0.8,0.25,0.79,0.68,0.5161259390195657,1746710912.8987439,uniform,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,3.337860107421875e-06,already_evaluated,0.016874408721923827,0.56_0.68_0.81_0.53_0.73,0.65_0.62_0.61_0.61_0.61,5.649852848052978,0.6617299942545366,0.81,0.78,0.85,0.98,0.7,0.91,0.82,0.6232198832649185,1746710912.936858,,RandomForestClassifier,,,,,50,6,,5,1,3,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.9341936111450195,0.18_0.18_0.33_0.14_0.34,0.67_0.66_0.65_0.68_0.66,0.03129067420959473,0.2323286607359519,0.51,0.44,0.61,1.0,0.25,0.49,0.47,0.6656167307347565,1746710912.9790392,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,3.5762786865234375e-06,already_evaluated,0.014319086074829101,0.42_0.4_0.46_0.48_0.46,0.68_0.7_0.69_0.69_0.67,1.2412235260009765,0.4437026493850242,0.63,0.66,0.69,1.0,0.44,0.66,0.71,0.6868281492474073,1746710913.020104,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
NearMiss,4,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,6,3.337860107421875e-06,already_evaluated,0.009821748733520508,0.36_0.31_0.58_0.52_0.27,0.65_0.65_0.64_0.63_0.64,0.421968412399292,0.40912365132183054,0.63,0.66,0.78,1.0,0.41,0.63,0.59,0.6421906070541977,1746710913.0639765,,RandomForestClassifier,,,,,50,6,,6,4,1,,gini,False,,
NearMiss,1,,rebalancing_features_mitigation_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.010414505004882812,0.24_0.34_0.35_0.32_0.2,0.67_0.68_0.68_0.69_0.67,0.4280110836029053,0.2908925247099555,0.47,0.54,0.59,1.0,0.29,0.59,0.64,0.6771190497085954,1746710913.105079,,RandomForestClassifier,,,,,50,6,,5,4,4,,gini,False,,
NearMiss,2,,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,4,3.5762786865234375e-06,already_evaluated,0.009447097778320312,0.47_0.57_0.47_0.62_0.47,0.66_0.67_0.65_0.66_0.65,0.4161396026611328,0.5203990649355915,0.66,0.66,0.71,1.0,0.52,0.85,0.84,0.6579097995633446,1746710913.149461,,RandomForestClassifier,,,,,50,6,,5,4,2,,gini,False,,
