rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,8.344650268554688e-06,already_evaluated,0.11579070091247559,0.07_0.01_0.21_0.11_0.03,0.76_0.76_0.75_0.75_0.76,74.5565050125122,0.08620140716669764,0.69,0.2,0.41,0.09,0.99,0.27,0.753157298194291,1746717508.6536975,,MLPClassifier,lbfgs,25,,10,,,,,,,invscaling,,,1e-05,relu
SMOTE,,8,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,6.4373016357421875e-06,already_evaluated,0.00980067253112793,0.12_0.14_0.13_0.13_0.14,0.53_0.53_0.53_0.53_0.54,0.13903584480285644,0.13294619999802312,0.57,0.13,0.99,0.7,1.0,1.0,0.5325713718284333,1746717508.7034576,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,100,1.0,,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.02717618942260742,0.56_0.66_0.6_0.83_0.67,0.51_0.5_0.5_0.5_0.51,4.440279960632324,0.6622601089993909,0.85,0.87,0.81,0.9,0.73,0.76,0.5045265870082027,1746717508.753789,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,5,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,100,0.5,,PCA,4,,4.291534423828125e-06,already_evaluated,0.20296916961669922,0.51_0.4_0.72_0.36_0.36,0.53_0.51_0.51_0.51_0.5,13.10214467048645,0.4694139331329862,0.75,0.8,0.56,0.75,0.77,0.66,0.5118315725973347,1746717508.8058527,,MLPClassifier,adam,50,,10,,,,,,,adaptive,,,0.01,tanh
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,6.4373016357421875e-06,already_evaluated,0.18689970970153807,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.076295232772827,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746717508.860373,,MLPClassifier,adam,25,,5,,,,,,,invscaling,,,0.001,logistic
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,2.0,50,1.0,,SelectKBest,,3,5.4836273193359375e-06,already_evaluated,0.11636500358581543,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,6.128555583953857,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746717508.9149044,,MLPClassifier,sgd,5,,20,,,,,,,constant,,,1e-05,logistic
NearMiss,3,,mitigation_features_normalization_rebalancing_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,1.945126724243164,0.0_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.387819576263428,-inf,0.9,0.39,0.0,0.0,0.07,0.0,0.49965431726901094,1746717508.9696233,uniform,KNeighborsClassifier,,,11,,,,manhattan,,,,,,,,
SMOTE,,6,rebalancing_mitigation_normalization_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,7.152557373046875e-06,already_evaluated,0.048429012298583984,0.44_0.65_0.78_0.5_0.31,0.52_0.5_0.51_0.5_0.49,7.543548583984375,0.5357384451804379,0.82,0.84,0.66,0.78,0.78,0.83,0.5055908814953554,1746717509.0247831,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,100,1.0,,PCA,4,,5.0067901611328125e-06,already_evaluated,1.7552024364471435,0.12_0.24_0.36_0.48_0.0,0.49_0.5_0.52_0.51_0.5,4.336163473129273,0.23985805053515813,0.5,0.53,0.44,0.37,0.46,0.42,0.5030891885665982,1746717509.0828185,uniform,KNeighborsClassifier,,,3,,,,euclidean,,,,,,,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,2.0,,PCA,3,,8.344650268554688e-06,already_evaluated,0.026394987106323244,0.37_0.74_0.42_0.48_0.64,0.52_0.5_0.53_0.5_0.51,3.120438051223755,0.5289421168188821,0.76,0.83,0.62,0.8,0.83,0.76,0.5119150003911397,1746717509.1426592,,RandomForestClassifier,,,,,25,4,,3,4,4,,gini,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.5,PCA,6,,8.58306884765625e-06,already_evaluated,0.2774050235748291,0.13_0.13_0.12_0.16_0.12,0.73_0.72_0.73_0.73_0.72,0.12175302505493164,0.13135657839586187,0.57,0.13,0.38,0.26,1.0,0.5,0.7271813546292982,1746717509.205743,distance,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,100,0.1,,FunctionTransformer,,,9.059906005859375e-06,already_evaluated,0.023354864120483397,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.694377708435058,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746717509.2691505,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,8.58306884765625e-06,already_evaluated,0.010067272186279296,0.0_0.0_0.0_0.0_0.0,0.59_0.57_0.61_0.6_0.59,0.08101491928100586,0.0,0.62,0.0,0.28,0.0,0.81,0.0,0.5912375138056818,1746717509.342774,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,3,,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,1.0,,SelectKBest,,9,6.9141387939453125e-06,already_evaluated,0.028994131088256835,0.73_0.38_0.55_0.58_0.5,0.51_0.51_0.5_0.51_0.51,3.890629243850708,0.5489175776735997,0.82,0.88,0.68,0.9,0.7,0.65,0.5082569897256978,1746717509.4076698,,RandomForestClassifier,,,,,10,4,,2,1,3,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,0.5,10,1.0,,SelectKBest,,8,6.198883056640625e-06,already_evaluated,2.0201723098754885,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.8840679168701175,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.49998499399759905,1746717509.4777458,distance,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,4,,4.1961669921875e-05,already_evaluated,0.0360015869140625,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,8.250625801086425,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746717509.5434232,,RandomForestClassifier,,,,,100,4,,6,4,3,,entropy,False,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,7.152557373046875e-06,already_evaluated,0.029368782043457033,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.247089385986328,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746717509.6098742,,RandomForestClassifier,,,,,50,4,,2,1,1,,gini,True,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,6.198883056640625e-06,already_evaluated,0.0456202507019043,0.67_0.49_0.71_0.65_0.62,0.52_0.53_0.53_0.52_0.53,0.15151495933532716,0.6266608154352676,0.74,0.66,0.92,0.77,0.77,0.78,0.5265508757156315,1746717509.6766546,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,200,1.0,,PCA,7,,8.106231689453125e-06,already_evaluated,0.046381807327270506,0.52_0.42_0.59_0.31_0.36,0.48_0.49_0.48_0.5_0.49,2.9236238956451417,0.44057019865688585,0.58,0.53,0.73,0.46,0.7,0.84,0.4880718062679808,1746717509.7540083,,RandomForestClassifier,,,,,100,3,,6,2,4,,entropy,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,2.0,,PCA,1,,7.867813110351562e-06,already_evaluated,1.5575151920318604,0.17_nan_nan_0.0_nan,0.49_0.5_0.5_0.5_0.5,4.165782785415649,-inf,0.53,0.46,0.25,0.24,0.15,0.04,0.4985235890531988,1746717509.8202112,uniform,KNeighborsClassifier,,,3,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,0.5,,FunctionTransformer,,,1.5735626220703125e-05,already_evaluated,0.026909732818603517,0.42_0.56_0.81_0.33_0.24,0.52_0.5_0.51_0.51_0.49,4.2725182056427,0.47226349194406547,0.64,0.66,0.56,0.67,0.79,0.84,0.5069376824945392,1746717509.8881583,,RandomForestClassifier,,,,,25,2,,5,1,2,,entropy,True,,
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,6.198883056640625e-06,already_evaluated,0.052174854278564456,0.58_0.48_0.69_0.75_0.59,0.53_0.51_0.51_0.5_0.5,8.476013135910033,0.6169077068885265,0.84,0.85,0.74,0.88,0.8,0.83,0.5112552537740667,1746717509.9550583,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.1,,SelectKBest,,7,4.76837158203125e-06,already_evaluated,1.3604880809783935,nan_nan_nan_0.0_nan,0.5_0.5_0.5_0.5_0.5,3.861736536026001,-inf,0.08,0.5,0.0,0.0,0.0,0.0,0.5000299467528805,1746717510.0219135,uniform,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,5.245208740234375e-06,already_evaluated,0.031348371505737306,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.0057064056396485,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.49998499399759905,1746717510.0915778,,RandomForestClassifier,,,,,50,6,,5,1,3,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,8.58306884765625e-06,already_evaluated,2.8926234245300293,0.01_0.04_0.05_0.05_0.06,0.76_0.77_0.77_0.77_0.77,0.072822904586792,0.044421440315256536,0.71,0.15,0.26,0.05,0.97,0.12,0.7691635626182125,1746717510.1607685,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,5.0067901611328125e-06,already_evaluated,0.025673866271972656,0.23_0.24_0.23_0.29_0.2,0.66_0.68_0.67_0.66_0.66,1.761369228363037,0.23868518855540244,0.37,0.24,0.45,0.32,0.95,0.79,0.6658849204631444,1746717510.2343042,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
SMOTE,,5,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,9,1.52587890625e-05,already_evaluated,0.037308359146118165,0.53_0.39_0.63_0.48_0.37,0.53_0.51_0.5_0.5_0.5,5.500173091888428,0.47810865105464906,0.77,0.8,0.65,0.85,0.7,0.63,0.5092246314256463,1746717510.3116834,,RandomForestClassifier,,,,,10,5,,3,3,1,,gini,False,,
