rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,100,0.1,,FunctionTransformer,,,4.5299530029296875e-06,already_evaluated,0.023354864120483397,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.694377708435058,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746716477.6850665,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.8835067749023438e-05,already_evaluated,0.010067272186279296,0.0_0.0_0.0_0.0_0.0,0.59_0.57_0.61_0.6_0.59,0.08101491928100586,0.0,0.62,0.0,0.28,0.0,0.81,0.0,0.5912375138056818,1746716477.750153,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,3,,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,1.0,,SelectKBest,,9,4.0531158447265625e-06,already_evaluated,0.028994131088256835,0.73_0.38_0.55_0.58_0.5,0.51_0.51_0.5_0.51_0.51,3.890629243850708,0.5489175776735997,0.82,0.88,0.68,0.9,0.7,0.65,0.5082569897256978,1746716477.8131764,,RandomForestClassifier,,,,,10,4,,2,1,3,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,0.5,10,1.0,,SelectKBest,,8,1.33514404296875e-05,already_evaluated,2.0201723098754885,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.8840679168701175,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.49998499399759905,1746716477.8784246,distance,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,4,,4.291534423828125e-06,already_evaluated,0.0360015869140625,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,8.250625801086425,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746716477.9432604,,RandomForestClassifier,,,,,100,4,,6,4,3,,entropy,False,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.029368782043457033,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.247089385986328,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746716478.008448,,RandomForestClassifier,,,,,50,4,,2,1,1,,gini,True,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.0456202507019043,0.67_0.49_0.71_0.65_0.62,0.52_0.53_0.53_0.52_0.53,0.15151495933532716,0.6266608154352676,0.74,0.66,0.92,0.77,0.77,0.78,0.5265508757156315,1746716478.074699,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,200,1.0,,PCA,7,,4.291534423828125e-06,already_evaluated,0.046381807327270506,0.52_0.42_0.59_0.31_0.36,0.48_0.49_0.48_0.5_0.49,2.9236238956451417,0.44057019865688585,0.58,0.53,0.73,0.46,0.7,0.84,0.4880718062679808,1746716478.1432369,,RandomForestClassifier,,,,,100,3,,6,2,4,,entropy,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,2.0,,PCA,1,,3.814697265625e-06,already_evaluated,1.5575151920318604,0.17_nan_nan_0.0_nan,0.49_0.5_0.5_0.5_0.5,4.165782785415649,-inf,0.53,0.46,0.25,0.24,0.15,0.04,0.4985235890531988,1746716478.2083185,uniform,KNeighborsClassifier,,,3,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,0.5,,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.026909732818603517,0.42_0.56_0.81_0.33_0.24,0.52_0.5_0.51_0.51_0.49,4.2725182056427,0.47226349194406547,0.64,0.66,0.56,0.67,0.79,0.84,0.5069376824945392,1746716478.2741215,,RandomForestClassifier,,,,,25,2,,5,1,2,,entropy,True,,
