id,baseline,argumentation_time_baseline,automl_time_baseline,iteration_baseline,best_time_baseline,tot_iteration_baseline,time_baseline,pkb,argumentation_time_pkb,automl_time_pkb,iteration_pkb,best_time_pkb,tot_iteration_pkb,delta_iteration_pkb,delta_pkb,ika,argumentation_time_ika,automl_time_ika,iteration_ika,best_time_ika,tot_iteration_ika,delta_iteration_ika,delta_ika,pkb_ika,argumentation_time_pkb_ika,automl_time_pkb_ika,iteration_pkb_ika,best_time_pkb_ika,tot_iteration_pkb_ika,delta_iteration_pkb_ika,delta_pkb_ika,row,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
31,0.812,11,4405.126168966293,-1,33.803974735736844,439,1:13:25.122455,0.786,80,3692.692136287689,-1,52.07339082956314,76,0,-0.026,0.816,128,4386.803539276123,-1,51.745377512772876,435,0,0.004,0.784,332,3869.3275048732758,-1,62.70020262002945,84,0,-0.028,31,credit-g,1,1,active,ARFF,700.0,10.0,300.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0
179,0.509,19,3659.5919799804688,0,22.371809069315592,20,1:00:59.591632,0.593,116,3645.0681703090668,0,51.59036401907603,74,0,0.084,0.588,71,4848.997683048248,0,62.55227646032969,29,0,0.079,0.629,409,4222.218613862991,0,62.78330513238907,65,0,0.12,179,adult,1,1,active,ARFF,37155.0,41.0,11687.0,2.0,15.0,48842.0,3620.0,6465.0,2.0,13.0
44162,0.537,19,3873.808830499649,0,45.992488118012744,84,1:04:33.807373,0.475,124,3907.79736495018,0,40.79738399585088,12,0,-0.062,0.496,77,3897.6665790081024,0,60.799966128667194,106,0,-0.041,0.781,471,4004.331718444824,-1,63.52303056319555,116,-1,0.244,44162,compass,1,4030,active,ARFF,161.0,7.0,41.0,2.0,20.0,202.0,17.0,17.0,3.0,17.0
