rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,1.1682510375976562e-05,already_evaluated,0.03344225883483887,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.8214861869812011,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746704148.9452226,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,1.1682510375976562e-05,already_evaluated,0.25658726692199707,0.13_0.08_0.15_0.17_0.15,0.8_0.8_0.8_0.81_0.8,175.4574149608612,0.13721376445671843,0.87,0.22,0.48,0.14,0.93,0.29,0.8010935834880707,1746704149.0324807,,MLPClassifier,lbfgs,50,,10,,,,,,,constant,,,0.0001,tanh
NearMiss,2,,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,7,1.049041748046875e-05,already_evaluated,0.13480668067932128,0.18_0.17_0.22_0.23_0.18,0.81_0.79_0.82_0.8_0.8,76.69391174316407,0.19596257046389398,0.66,0.21,0.68,0.2,1.0,0.46,0.8044506791413445,1746704149.124092,,MLPClassifier,lbfgs,25,,5,,,,,,,invscaling,,,1e-05,logistic
SMOTE,,6,rebalancing_mitigation_normalization_features_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,1.9311904907226562e-05,already_evaluated,0.012790822982788086,0.05_0.06_0.07_0.05_0.06,0.67_0.67_0.67_0.66_0.66,0.26387825012207033,0.0582027222636438,0.21,0.06,0.4,0.19,1.0,0.74,0.6667258257680875,1746704149.2182457,,RandomForestClassifier,,,,,10,4,,6,4,3,,gini,True,,
NearMiss,2,,rebalancing_features_mitigation_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,1.0,PCA,5,,1.0967254638671875e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746704149.3042197,,RandomForestClassifier,,,,,25,2,,4,2,1,,entropy,False,,
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,50,1.0,,SelectKBest,,5,9.298324584960938e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746704149.3921204,,MLPClassifier,adam,10,,20,,,,,,,invscaling,,,0.001,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,1.2159347534179688e-05,already_evaluated,0.012217903137207031,0.01_0.02_0.02_0.01_0.01,0.66_0.66_0.67_0.66_0.66,0.13781485557556153,0.013929050882220406,0.26,0.01,0.2,0.19,1.0,0.67,0.6615853346748451,1746704149.4812357,,RandomForestClassifier,,,,,25,3,,2,2,5,,entropy,True,,
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,7.867813110351562e-06,already_evaluated,0.22215189933776855,0.08_0.09_0.13_0.11_0.09,0.65_0.66_0.65_0.67_0.66,0.28223109245300293,0.09982312091238661,0.13,0.1,0.5,0.31,0.95,0.87,0.656348551170668,1746704149.566723,distance,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,7.3909759521484375e-06,already_evaluated,0.03919253349304199,0.8_0.48_0.51_0.75_nan,0.51_0.5_0.52_0.51_0.5,64.25814008712769,-inf,0.82,0.84,0.68,0.82,0.92,0.83,0.5099033783684614,1746704149.6348026,,RandomForestClassifier,,,,,100,6,,5,1,1,,entropy,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,9.298324584960938e-06,already_evaluated,0.013250732421875,0.06_0.05_0.06_0.09_0.06,0.8_0.79_0.8_0.8_0.79,2.5747718811035156,0.06299071796764237,0.88,0.11,0.48,0.06,1.0,0.16,0.7953182495902247,1746704149.7278929,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.001,logistic
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,9.5367431640625e-06,already_evaluated,3.0130395889282227,nan_0.21_nan_nan_0.0,0.5_0.53_0.5_0.5_0.5,51.304742097854614,-inf,0.12,0.11,0.12,0.12,0.75,0.48,0.5051153269926426,1746704149.8340733,uniform,KNeighborsClassifier,,,16,,,,manhattan,,,,,,,,
SMOTE,,6,rebalancing_normalization_mitigation_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.5,,SelectKBest,,2,255.9454584121704,success,1.2819786548614502,0.37_0.0_0.69_0.35_0.54,0.67_0.5_0.62_0.66_0.66,26.22820963859558,0.39132536787098215,0.68,0.49,0.58,0.43,0.79,0.69,0.622536588478287,1746704407.1213348,distance,KNeighborsClassifier,,,9,,,,manhattan,,,,,,,,
SMOTE,,6,rebalancing_features_mitigation_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,50,0.5,,FunctionTransformer,,,253.5635814666748,fail,4.53067102432251,nan_nan_nan_nan_0.0,0.5_0.5_0.5_0.5_0.5,41.52139573097229,-inf,0.5,0.25,0.0,0.0,0.0,0.0,0.49995500000653037,1746704660.7876213,distance,KNeighborsClassifier,,,7,,,,euclidean,,,,,,,,
NearMiss,2,,rebalancing_normalization_features_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,50,1.0,,SelectKBest,,5,1.1798954010009766,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746704662.0772939,,MLPClassifier,adam,10,,1,,,,,,,invscaling,,,0.01,logistic
NearMiss,2,,rebalancing_features_mitigation_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,PCA,3,,0.0004935264587402344,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746704662.1776888,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,tanh
SMOTE,,6,mitigation_rebalancing_features_normalization_classification,False,,True,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,6.9563374519348145,success,0.022452688217163085,0.02_0.01_0.04_0.03_0.02,0.79_0.78_0.78_0.79_0.78,1.2400521278381347,0.023996830593595992,0.99,0.06,0.4,0.02,0.9,0.13,0.7842144101635242,1746704669.238135,,RandomForestClassifier,,,,,50,6,,5,2,4,,entropy,False,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,,True,,False,RobustScaler,FunctionTransformer,,,,,FunctionTransformer,,,233.76499676704407,success,0.0393033504486084,0.2_0.13_0.2_0.21_0.2,0.8_0.79_0.79_0.8_0.79,46.56640453338623,0.18571806413291764,0.6,0.23,0.48,0.19,1.0,0.53,0.793167197419644,1746704903.1013355,,MLPClassifier,lbfgs,50,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,1.0,,FunctionTransformer,,,333.72624254226685,fail,0.23643040657043457,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,66.17346868515014,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746705236.9856868,,MLPClassifier,lbfgs,10,,10,,,,,,,adaptive,,,0.0001,logistic
