rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,4,,3.1147618293762207,success,0.005878829956054687,0.5_0.18_0.42_0.38_0.21,0.67_0.66_0.66_0.67_0.66,0.5820446968078613,0.33854949226678327,0.57,0.64,0.69,1.0,0.34,0.62,0.73,0.6649673884095593,1746722074.4099636,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,7,,56.11228585243225,success,0.08420453071594239,0.32_0.28_0.37_0.32_0.32,0.7_0.7_0.69_0.71_0.68,10.969484329223633,0.3222865885790103,0.55,0.58,0.65,1.0,0.32,0.6,0.71,0.6952667879299819,1746722070.4419556,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,29.238783597946167,success,0.017359495162963867,0.52_1.0_0.78_0.55_0.35,0.65_0.5_0.63_0.61_0.64,5.785523462295532,0.6410505451738229,0.76,0.78,0.86,1.0,0.7,0.89,0.81,0.6055604924541044,1746722014.288451,,RandomForestClassifier,,,,,50,6,,5,4,5,,entropy,True,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,7,0.5536575317382812,success,0.007960987091064454,0.35_0.45_0.42_0.45_0.34,0.68_0.69_0.68_0.68_0.67,0.06493887901306153,0.4024952050048771,0.62,0.64,0.71,1.0,0.4,0.71,0.73,0.6825437957935546,1746721985.0133526,,RandomForestClassifier,,,,,10,4,,5,3,3,,gini,False,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.1,,PCA,4,,30.10388946533203,success,0.23478660583496094,0.69_0.0_0.26_0.0_0.54,0.52_0.49_0.51_0.5_0.5,5.531272840499878,0.29692712497357576,0.63,0.59,0.69,0.73,0.48,0.7,0.78,0.505668038734011,1746721984.4249554,uniform,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
NearMiss,4,,features_normalization_rebalancing_mitigation_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,PCA,4,,0.0006585121154785156,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746721954.287245,,MLPClassifier,sgd,25,,10,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,8.006943941116333,success,0.0450808048248291,0.5_0.47_0.67_0.51_0.41,0.62_0.63_0.63_0.6_0.65,1.400963020324707,0.5092890588240853,0.66,0.65,0.76,1.0,0.55,0.79,0.74,0.6266476222106739,1746721954.2492244,,MLPClassifier,sgd,10,,20,,,,,,,constant,,,0.001,logistic
NearMiss,3,,features_rebalancing_mitigation_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,10,1.0,,SelectKBest,,3,0.17609930038452148,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746721946.208336,,RandomForestClassifier,,,,,100,4,,6,1,1,,gini,True,,
NearMiss,1,,features_rebalancing_normalization_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,2.0,200,0.5,,PCA,4,,0.0005917549133300781,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746721945.9997864,,RandomForestClassifier,,,,,75,6,,6,1,5,,gini,True,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,4,,3.9828782081604004,success,0.012790870666503907,0.44_0.41_0.35_0.2_0.24,0.63_0.64_0.62_0.65_0.63,0.741722297668457,0.3287144996527258,0.42,0.56,0.58,1.0,0.33,0.57,0.83,0.6361854770199983,1746721945.2429488,,RandomForestClassifier,,,,,75,2,,2,3,5,,gini,True,,
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,False,,False,RobustScaler,LFR_wrapper,2.0,100,0.1,,SelectKBest,,8,58.43409037590027,success,0.026597929000854493,0.45_0.68_0.69_0.54_0.31,0.63_0.63_0.63_0.61_0.64,8.326708984375,0.5353201197923815,0.74,0.72,0.82,0.99,0.61,0.87,0.73,0.6264371308952121,1746721941.2272017,,RandomForestClassifier,,,,,100,4,,4,1,4,,gini,False,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,50.97188878059387,success,0.021209001541137695,0.45_0.46_0.72_0.72_0.32,0.63_0.61_0.63_0.62_0.64,9.325531578063964,0.535784410807325,0.77,0.76,0.84,1.0,0.57,0.83,0.72,0.6248008269492433,1746721882.7557557,,RandomForestClassifier,,,,,100,6,,5,1,1,,entropy,False,,
