rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,4,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.8189094066619873,success,0.01545720100402832,0.07_0.05_0.05_0.05_0.05,0.75_0.75_0.75_0.76_0.75,0.28055486679077146,0.05492710513742878,1.0,0.05,0.78,0.23,0.97,0.74,0.7520713915224411,1746740043.4818242,,RandomForestClassifier,,,,,50,5,,6,3,1,,gini,True,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,1.0,,SelectKBest,,6,20.731662034988403,success,0.025974178314208986,0.75_0.76_0.68_0.7_0.45,0.52_0.51_0.5_0.51_0.5,2.760154628753662,0.6682658467090323,0.87,0.91,0.74,0.91,0.83,0.84,0.5072978332456342,1746740041.475159,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,LFR_wrapper,0.5,10,2.0,,PCA,6,,13.242206335067749,fail,0.028352117538452147,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.539667272567749,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746740020.6065607,,RandomForestClassifier,,,,,25,4,,5,3,3,,gini,False,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.6601521968841553,fail,0.00948472023010254,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.055688905715942386,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746740007.220362,,RandomForestClassifier,,,,,10,2,,5,1,1,,gini,True,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,1.0,100,1.0,,SelectKBest,,7,42.310608863830566,success,0.026395893096923827,0.37_0.87_0.8_0.64_0.58,0.51_0.51_0.52_0.52_0.51,4.081831216812134,0.6535793984569959,0.85,0.86,0.73,0.88,0.93,0.81,0.51201403813999,1746740004.8153405,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,relu
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,PCA,5,,4.181982517242432,success,0.008897638320922852,0.31_0.25_0.22_0.23_0.25,0.66_0.68_0.69_0.66_0.68,0.7653110027313232,0.2505128077057074,0.74,0.25,0.64,0.6,1.0,0.86,0.6759102903557715,1746739962.371812,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,100,0.1,,SelectKBest,,5,44.98109173774719,fail,0.036306905746459964,nan_nan_nan_0.0_0.0,0.5_0.5_0.5_0.5_0.5,2.4279650688171386,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.500030018761219,1746739958.050658,,RandomForestClassifier,,,,,75,6,,5,2,3,,entropy,False,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,PCA,5,,7.004014015197754,success,0.42206082344055174,0.2_0.2_0.26_0.21_0.22,0.79_0.79_0.79_0.8_0.78,0.5030342102050781,0.21728343160353208,0.78,0.25,0.51,0.22,1.0,0.51,0.7899441174824923,1746739912.9367998,uniform,KNeighborsClassifier,,,13,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,2.0,50,0.1,,SelectKBest,,4,14.87204360961914,fail,0.025438451766967775,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.696618986129761,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746739905.8108802,,MLPClassifier,lbfgs,5,,1,,,,,,,invscaling,,,0.0001,logistic
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,9,48.98116135597229,success,3.3822107315063477,0.0_0.0_0.0_0.0_0.0,0.5_0.5_0.5_0.5_0.5,1.9817903518676758,0.0,0.47,0.41,0.0,0.08,0.2,0.2,0.5000599272594799,1746739890.8170648,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,46.762166261672974,fail,4.099463987350464,nan_0.0_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,1.0542745113372802,-inf,1.0,0.57,0.0,0.0,0.0,0.0,0.5001349932442607,1746739841.715954,uniform,KNeighborsClassifier,,,10,,,,euclidean,,,,,,,,
SMOTE,,7,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,1.0,,FunctionTransformer,,,56.45742392539978,fail,4.1747630596160885,0.0_nan_0.0_0.38_nan,0.5_0.5_0.5_0.5_0.5,2.900809907913208,-inf,0.18,0.83,0.33,0.26,0.16,0.13,0.4993232200615286,1746739793.1002278,uniform,KNeighborsClassifier,,,3,,,,euclidean,,,,,,,,
SMOTE,,5,mitigation_rebalancing_features_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,0.5,,PCA,6,,22.468109607696533,success,0.024419212341308595,0.58_0.42_0.33_0.31_0.45,0.5_0.5_0.49_0.49_0.51,4.388408088684082,0.4176141196582576,0.75,0.71,1.0,0.84,0.52,0.45,0.495982058346486,1746739736.4991531,,MLPClassifier,sgd,5,,1,,,,,,,invscaling,,,0.01,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,2.0,200,0.1,,SelectKBest,,2,158.73032879829407,fail,0.06917662620544433,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,21.129479789733885,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746739713.8949137,,MLPClassifier,lbfgs,25,,5,,,,,,,invscaling,,,0.001,logistic
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,10,0.5,,PCA,8,,31.64345908164978,fail,1.955898380279541,0.0_nan_0.0_nan_nan,0.5_0.5_0.5_0.5_0.5,2.416239023208618,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.5000600014990246,1746739555.047312,uniform,KNeighborsClassifier,,,10,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,50,0.1,,FunctionTransformer,,,18.327361345291138,fail,0.045466947555541995,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,3.5382651329040526,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746739523.2729657,,MLPClassifier,lbfgs,5,,5,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,2,19.072817087173462,fail,0.38962526321411134,nan_0.0_0.0_0.0_0.0,0.5_0.5_0.5_0.5_0.5,2.591603136062622,-inf,0.53,0.44,0.0,0.1,0.25,0.0,0.500105030769625,1746739504.8291934,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,5,80.30142045021057,success,0.024154806137084962,0.15_0.07_0.11_0.06_0.09,0.74_0.74_0.75_0.74_0.74,15.957883501052857,0.09582520994038927,0.72,0.23,0.45,0.1,1.0,0.33,0.7413670987797151,1746739485.6304905,,MLPClassifier,lbfgs,25,,1,,,,,,,constant,,,1e-05,tanh
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,25.98036241531372,success,0.04017748832702637,0.3_0.34_0.5_0.7_0.66,0.51_0.51_0.51_0.5_0.51,5.061298036575318,0.4999421893786119,0.73,0.76,0.53,0.7,0.91,0.86,0.5077805662687676,1746739405.20161,,RandomForestClassifier,,,,,100,3,,5,4,1,,entropy,False,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,4,4.021050214767456,success,0.01638479232788086,0.15_0.14_0.47_0.3_0.49,0.7_0.71_0.66_0.67_0.65,0.6938748836517334,0.3093794041720811,0.6,0.31,0.79,0.58,1.0,0.79,0.6762802302810476,1746739379.107235,,RandomForestClassifier,,,,,50,2,,5,4,1,,entropy,True,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,1.0,,PCA,4,,15.259612083435059,success,0.02822399139404297,0.74_0.79_0.64_0.8_0.57,0.53_0.5_0.5_0.5_0.5,2.9461364269256594,0.7053978619189241,0.91,0.93,0.77,0.92,0.88,0.87,0.5058641409122384,1746739373.6164865,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,5.319761753082275,success,0.02515439987182617,0.04_0.03_0.04_0.03_0.04,0.76_0.75_0.75_0.76_0.75,0.9519010543823242,0.03658243315864856,0.81,0.04,0.81,0.5,1.0,0.87,0.7566971278345369,1746739358.2343736,,RandomForestClassifier,,,,,75,4,,4,2,2,,gini,True,,
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.2985482215881348,success,0.011198186874389648,0.07_0.07_0.07_0.06_0.05,0.77_0.77_0.77_0.77_0.78,0.1800990581512451,0.06685538843151669,0.99,0.15,0.72,0.07,0.99,0.16,0.7728516455429861,1746739352.800188,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
SMOTE,,5,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,68.59284043312073,success,0.010282802581787109,0.19_0.17_0.18_0.19_0.17,0.8_0.8_0.8_0.81_0.8,13.642567873001099,0.1807661088513669,0.68,0.19,0.6,0.2,1.0,0.54,0.8029356945477419,1746739351.3816493,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,tanh
NearMiss,1,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,100,0.1,,SelectKBest,,8,54.24865365028381,success,0.026148176193237303,0.97_0.6_0.61_0.72_0.84,0.51_0.5_0.52_0.51_0.51,3.773720121383667,0.7457598313189073,0.91,0.92,0.86,0.96,0.89,0.77,0.5092766470567845,1746739282.6775937,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
