rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,LFR_wrapper,1.0,200,0.1,,PCA,4,,7.152557373046875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746699256.9206014,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,8,features_normalization_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,5,7.3909759521484375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746699256.9558551,distance,KNeighborsClassifier,,,14,,,,euclidean,,,,,,,,
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,7,,7.152557373046875e-06,already_evaluated,0.07718596458435059,0.24_0.21_0.0_0.22_0.17,0.7_0.7_0.69_0.71_0.68,10.98909068107605,0.16880875552353955,0.41,0.54,0.53,1.0,0.17,0.54,0.63,0.6952667879299819,1746699256.9908834,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,6.198883056640625e-06,already_evaluated,0.01852731704711914,0.67_0.33_0.0_0.61_0.18,0.63_0.64_0.63_0.62_0.64,6.2787049293518065,0.35909939182644807,0.66,0.69,0.79,0.8,0.41,0.77,0.72,0.6330090015490439,1746699257.0249949,,RandomForestClassifier,,,,,50,6,,5,4,5,,entropy,True,,
NearMiss,1,,normalization_rebalancing_mitigation_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,0.1,,PCA,4,,8.344650268554688e-06,already_evaluated,0.1541304588317871,0.2_0.23_0.11_0.3_0.24,0.64_0.64_0.63_0.63_0.64,1.8642995357513428,0.2166361253033115,0.41,0.53,0.59,0.99,0.23,0.67,0.8,0.6346330878000138,1746699257.0608842,uniform,KNeighborsClassifier,,,14,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,8.106231689453125e-06,already_evaluated,0.013619089126586914,0.16_0.26_0.09_0.19_0.16,0.68_0.68_0.68_0.69_0.67,0.400048828125,0.16939273630105345,0.32,0.44,0.44,1.0,0.17,0.5,0.56,0.678332173446869,1746699257.1010153,,RandomForestClassifier,,,,,50,6,,6,4,3,,gini,False,,
SMOTE,,7,features_normalization_mitigation_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,8,,8.344650268554688e-06,already_evaluated,0.007524824142456055,0.18_0.27_0.0_0.22_0.18,0.69_0.69_0.68_0.7_0.68,1.7789522647857665,0.16942725214398352,0.4,0.55,0.56,1.0,0.17,0.56,0.64,0.69030898866095,1746699257.176624,,MLPClassifier,lbfgs,25,,1,,,,,,,constant,,,1e-05,logistic
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,5.4836273193359375e-06,already_evaluated,0.08420090675354004,0.32_0.25_0.0_0.31_0.45,0.62_0.63_0.63_0.6_0.65,1.3946263790130615,0.26603763699776223,0.46,0.59,0.67,0.82,0.3,0.68,0.69,0.6266476222106739,1746699257.2283897,,MLPClassifier,sgd,10,,20,,,,,,,constant,,,0.001,logistic
NearMiss,3,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,200,1.0,,PCA,4,,5.0067901611328125e-06,already_evaluated,0.23603410720825196,0.5_0.0_0.0_0.0_0.0,0.52_0.5_0.51_0.51_0.51,4.839916658401489,0.10040290088638193,0.23,0.45,0.42,0.44,0.14,0.34,0.49,0.5087820835326579,1746699257.263913,uniform,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,,False,,False,RobustScaler,FunctionTransformer,,,,,FunctionTransformer,,,7.152557373046875e-06,already_evaluated,0.05183873176574707,0.5_0.44_0.12_0.44_0.1,0.67_0.66_0.68_0.67_0.66,0.03838920593261719,0.32029848452376497,0.53,0.66,0.66,0.97,0.36,0.68,0.73,0.6680514851696155,1746699257.2998245,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
