rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,10,2.0,,SelectKBest,,2,17.07981562614441,success,0.01720004081726074,0.91_0.9_0.76_1.0_0.67,0.54_0.57_0.55_0.5_0.55,0.7030039310455323,0.8474358929721637,0.88,1.0,0.88,0.91,0.5392857142857143,1746705374.8916245,uniform,KNeighborsClassifier,,,8,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,6.3696348667144775,success,0.006166934967041016,0.81_0.68_0.85_0.62_0.74,0.62_0.57_0.55_0.51_0.52,1.2473968982696533,0.7383515598209295,0.75,1.0,0.79,0.85,0.5538095238095238,1746705357.6810203,,MLPClassifier,lbfgs,25,,5,,,,,,,constant,,,1e-05,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,1.0,200,2.0,,PCA,4,,4.497394323348999,fail,0.014056634902954102,nan_0.0_0.0_nan_0.0,0.5_0.48_0.5_0.5_0.5,0.856717872619629,-inf,0.36,0.33,0.0,0.46,0.49738095238095237,1746705351.1838489,uniform,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,9,1.0314760208129883,success,0.008031606674194336,0.34_0.48_0.51_0.53_0.38,0.68_0.69_0.68_0.66_0.68,0.16063528060913085,0.44466608536021435,0.99,0.54,0.54,0.79,0.6783333333333333,1746705346.5544763,,RandomForestClassifier,,,,,75,6,,5,2,5,,entropy,True,,
FunctionTransformer,,,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.5,,SelectKBest,,7,18.913955211639404,success,0.007705259323120117,0.98_1.0_1.0_0.9_0.96,0.52_0.5_0.5_0.51_0.53,0.8947132587432861,0.969024186822352,0.97,1.0,0.98,0.99,0.5109523809523809,1746705345.394394,,RandomForestClassifier,,,,,50,6,,2,1,4,,gini,True,,
SMOTE,,5,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.7544310092926025,success,0.031156349182128906,0.62_0.13_0.54_0.58_0.71,0.62_0.68_0.69_0.64_0.68,0.07305312156677246,0.5158572093961311,0.96,0.93,0.53,0.76,0.6626190476190477,1746705326.3468542,uniform,KNeighborsClassifier,,,6,,,,manhattan,,,,,,,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,1.0,100,0.1,,PCA,7,,8.549868106842041,success,0.011539411544799805,0.62_0.68_0.84_0.67_0.53,0.54_0.57_0.54_0.51_0.55,1.672300100326538,0.6676209083701439,0.76,0.92,0.79,0.84,0.5438095238095239,1746705325.4635346,,RandomForestClassifier,,,,,100,4,,2,3,4,,gini,True,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.9893288612365723,success,0.07768974304199219,0.58_0.88_0.87_0.65_0.41,0.52_0.58_0.54_0.53_0.53,0.033541297912597655,0.6753095223014358,0.77,0.97,0.81,0.78,0.5411904761904761,1746705316.7892203,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,1,,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,7,,17.137596130371094,success,0.010796451568603515,0.64_0.51_0.84_0.85_0.74,0.59_0.54_0.54_0.56_0.51,3.3940333843231203,0.7186558904907528,0.75,0.99,0.76,0.88,0.5495238095238095,1746705313.8753786,,RandomForestClassifier,,,,,50,4,,6,3,4,,gini,False,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,2.0,,FunctionTransformer,,,17.65576148033142,success,0.046417856216430665,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,3.4479674816131594,1.0,1.0,1.0,1.0,1.0,0.5,1746705296.614418,,MLPClassifier,sgd,50,,20,,,,,,,invscaling,,,0.01,logistic
NearMiss,3,,rebalancing_mitigation_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,2.0,,PCA,8,,26.89025044441223,success,0.006102085113525391,0.79_0.6_0.66_0.71_0.15,0.61_0.55_0.54_0.52_0.53,5.351231098175049,0.5818242386990538,0.68,1.0,0.66,0.83,0.5485714285714286,1746705278.8380194,,MLPClassifier,adam,5,,5,,,,,,,constant,,,1e-05,relu
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,0.57228684425354,success,0.033129549026489256,0.76_0.42_0.81_0.6_0.81,0.61_0.66_0.64_0.61_0.59,0.03365516662597656,0.6810822755745434,0.9,0.99,0.71,0.75,0.6204761904761905,1746705251.8278108,uniform,KNeighborsClassifier,,,5,,,,manhattan,,,,,,,,
NearMiss,2,,normalization_mitigation_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,FunctionTransformer,,,6.302649736404419,success,0.009099912643432618,0.4_0.51_0.4_0.32_0.83,0.47_0.54_0.49_0.42_0.53,1.2273336410522462,0.4918489782816159,0.72,0.88,0.57,0.78,0.488095238095238,1746705251.137936,,RandomForestClassifier,,,,,75,2,,6,2,3,,entropy,False,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.2014737129211426,success,0.07415080070495605,0.36_0.69_0.84_0.68_0.89,0.64_0.67_0.7_0.67_0.59,0.08902316093444824,0.6927400719205302,0.88,0.97,0.72,0.81,0.655952380952381,1746705244.695098,distance,KNeighborsClassifier,,,17,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,100,0.1,,FunctionTransformer,,,5.491217374801636,success,0.0055659770965576175,0.89_1.0_0.96_0.9_0.99,0.53_0.5_0.51_0.51_0.5,1.073052215576172,0.9484347962327873,0.96,1.0,0.97,0.97,0.5088095238095238,1746705243.374903,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,0.20869112014770508,success,0.0038081645965576173,0.9_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.019460773468017577,0.9800000000000001,1.0,1.0,0.98,1.0,0.4992857142857143,1746705237.7689717,,RandomForestClassifier,,,,,10,2,,4,2,5,,entropy,True,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,4.832603693008423,success,0.005098676681518555,0.8_0.97_0.73_0.57_0.48,0.59_0.64_0.61_0.63_0.66,0.9382805347442627,0.7113840025329113,0.98,0.94,0.76,0.88,0.6254761904761905,1746705235.6035678,,MLPClassifier,lbfgs,50,,5,,,,,,,adaptive,,,0.0001,relu
NearMiss,3,,features_rebalancing_mitigation_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,0.1,50,0.5,,FunctionTransformer,,,21.735764265060425,fail,0.0064524650573730465,0.78_1.0_0.95_nan_1.0,0.48_0.5_0.5_0.5_0.5,4.320560359954834,-inf,0.98,0.94,1.0,0.97,0.4961904761904762,1746705230.657161,,MLPClassifier,sgd,50,,1,,,,,,,invscaling,,,0.001,tanh
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,0.1,,PCA,4,,5.343949794769287,success,0.008144569396972657,0.89_0.48_0.9_0.77_0.74,0.53_0.55_0.49_0.55_0.52,1.0384942531585692,0.7556397237539954,0.81,0.99,0.78,0.89,0.5278571428571428,1746705208.807623,,RandomForestClassifier,,,,,50,4,,3,3,2,,entropy,True,,
SMOTE,,6,rebalancing_features_normalization_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.35962510108947754,success,0.004295873641967774,0.32_0.62_0.48_0.47_0.4,0.6_0.64_0.65_0.66_0.69,0.04986062049865723,0.45849191771817405,1.0,0.79,0.5,0.71,0.6490476190476191,1746705203.353154,,RandomForestClassifier,,,,,10,4,,2,3,5,,gini,False,,
NearMiss,4,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,0.8506922721862793,success,0.005306100845336914,0.13_0.12_0.24_0.13_0.0,0.63_0.6_0.54_0.59_0.57,0.14421439170837402,0.12350915750915752,0.79,0.93,0.12,0.9,0.5878571428571429,1746705202.8808563,,RandomForestClassifier,,,,,50,5,,6,3,1,,gini,True,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,1.0,,SelectKBest,,6,6.094634056091309,success,0.006815004348754883,0.84_0.6_0.86_0.63_0.74,0.56_0.58_0.55_0.52_0.52,1.0076398372650146,0.7341256179233392,0.83,0.92,0.88,0.87,0.5457142857142857,1746705201.917566,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,False,,True,RobustScaler,LFR_wrapper,0.5,10,2.0,,PCA,6,,5.039839744567871,success,0.008472442626953125,0.96_0.9_1.0_1.0_1.0,0.54_0.55_0.5_0.5_0.5,0.9761114597320557,0.9727272727272727,0.98,1.0,0.98,0.98,0.5180952380952382,1746705195.7123036,,RandomForestClassifier,,,,,25,4,,5,3,3,,gini,False,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.19662952423095703,success,0.0039365291595458984,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.016374969482421876,1.0,1.0,1.0,1.0,1.0,0.5,1746705190.5646396,,RandomForestClassifier,,,,,10,2,,5,1,1,,gini,True,,
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,1.0,100,1.0,,SelectKBest,,7,6.979611158370972,success,0.0062904834747314455,0.81_0.63_0.84_0.79_0.38,0.58_0.59_0.54_0.56_0.52,0.9221786975860595,0.6904518195953532,0.81,0.9,0.84,0.92,0.5583333333333332,1746705188.6031947,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,relu
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,PCA,5,,0.8104941844940186,success,0.0034629344940185548,0.33_0.72_0.55_0.81_0.17,0.63_0.64_0.61_0.61_0.53,0.14040021896362304,0.5160745479242077,0.81,0.99,0.55,0.82,0.6042857142857143,1746705181.515864,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,100,0.1,,SelectKBest,,5,7.391069173812866,success,0.009947443008422851,1.0_1.0_0.97_1.0_1.0,0.5_0.5_0.5_0.5_0.5,1.1850135326385498,0.9944954128440366,0.99,1.0,1.0,1.0,0.5002380952380953,1746705180.5976799,,RandomForestClassifier,,,,,75,6,,5,2,3,,entropy,False,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,PCA,5,,0.3541221618652344,success,0.012970781326293946,0.41_0.55_0.53_0.73_0.45,0.67_0.67_0.7_0.64_0.66,0.030228900909423827,0.5359069478908188,0.93,0.95,0.54,0.85,0.6707142857142857,1746705173.1025972,uniform,KNeighborsClassifier,,,13,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,2.0,50,0.1,,SelectKBest,,4,7.389662742614746,success,0.005515241622924804,0.95_1.0_0.99_1.0_1.0,0.54_0.5_0.51_0.5_0.5,0.7442227363586426,0.9887533729087966,1.0,1.0,0.99,1.0,0.509047619047619,1746705172.6425219,,MLPClassifier,lbfgs,5,,1,,,,,,,invscaling,,,0.0001,logistic
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,9,14.667085886001587,success,0.018609094619750976,0.81_0.9_0.95_0.89_0.74,0.63_0.5_0.5_0.51_0.53,1.31223521232605,0.8583362693010518,0.88,1.0,0.89,0.93,0.5347619047619048,1746705165.148068,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.413919925689697,success,0.06276888847351074,1.0_0.88_0.99_1.0_0.94,0.5_0.53_0.5_0.5_0.53,0.9342879772186279,0.9626726564665044,0.96,1.0,0.99,0.98,0.5116666666666666,1746705150.378394,uniform,KNeighborsClassifier,,,10,,,,euclidean,,,,,,,,
