rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,normalization_mitigation_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.009099912643432618,0.4_0.51_0.4_0.32_0.83,0.47_0.54_0.49_0.42_0.53,1.2273336410522462,0.4918489782816159,0.72,0.88,0.57,0.78,0.488095238095238,1746707655.8968096,,RandomForestClassifier,,,,,75,2,,6,2,3,,entropy,False,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.07415080070495605,0.36_0.69_0.84_0.68_0.89,0.64_0.67_0.7_0.67_0.59,0.08902316093444824,0.6927400719205302,0.88,0.97,0.72,0.81,0.655952380952381,1746707655.9227881,distance,KNeighborsClassifier,,,17,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,100,0.1,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.0055659770965576175,0.89_1.0_0.96_0.9_0.99,0.53_0.5_0.51_0.51_0.5,1.073052215576172,0.9484347962327873,0.96,1.0,0.97,0.97,0.5088095238095238,1746707655.9522998,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.0038081645965576173,0.9_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.019460773468017577,0.9800000000000001,1.0,1.0,0.98,1.0,0.4992857142857143,1746707655.980347,,RandomForestClassifier,,,,,10,2,,4,2,5,,entropy,True,,
FunctionTransformer,,,rebalancing_features_mitigation_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.005098676681518555,0.8_0.97_0.73_0.57_0.48,0.59_0.64_0.61_0.63_0.66,0.9382805347442627,0.7113840025329113,0.98,0.94,0.76,0.88,0.6254761904761905,1746707656.0098894,,MLPClassifier,lbfgs,50,,5,,,,,,,adaptive,,,0.0001,relu
NearMiss,3,,features_rebalancing_mitigation_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,0.1,50,0.5,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.0064524650573730465,0.78_1.0_0.95_nan_1.0,0.48_0.5_0.5_0.5_0.5,4.320560359954834,-inf,0.98,0.94,1.0,0.97,0.4961904761904762,1746707656.0437553,,MLPClassifier,sgd,50,,1,,,,,,,invscaling,,,0.001,tanh
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,0.1,,PCA,4,,3.5762786865234375e-06,already_evaluated,0.008144569396972657,0.89_0.48_0.9_0.77_0.74,0.53_0.55_0.49_0.55_0.52,1.0384942531585692,0.7556397237539954,0.81,0.99,0.78,0.89,0.5278571428571428,1746707656.0768893,,RandomForestClassifier,,,,,50,4,,3,3,2,,entropy,True,,
SMOTE,,6,rebalancing_features_normalization_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.004295873641967774,0.32_0.62_0.48_0.47_0.4,0.6_0.64_0.65_0.66_0.69,0.04986062049865723,0.45849191771817405,1.0,0.79,0.5,0.71,0.6490476190476191,1746707656.1108854,,RandomForestClassifier,,,,,10,4,,2,3,5,,gini,False,,
NearMiss,4,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.005306100845336914,0.13_0.12_0.24_0.13_0.0,0.63_0.6_0.54_0.59_0.57,0.14421439170837402,0.12350915750915752,0.79,0.93,0.12,0.9,0.5878571428571429,1746707656.1457148,,RandomForestClassifier,,,,,50,5,,6,3,1,,gini,True,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,1.0,,SelectKBest,,6,3.337860107421875e-06,already_evaluated,0.006815004348754883,0.84_0.6_0.86_0.63_0.74,0.56_0.58_0.55_0.52_0.52,1.0076398372650146,0.7341256179233392,0.83,0.92,0.88,0.87,0.5457142857142857,1746707656.182276,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
