rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,1.027085304260254,success,0.07813425064086914,0.87_0.72_0.78_0.81_0.95,0.62_0.66_0.61_0.65_0.56,0.036825370788574216,0.8258100358422938,0.91,0.96,0.92,0.88,0.6197619047619047,1746720778.6673188,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,0.9508993625640869,success,0.08132386207580566,0.84_0.85_0.59_0.83_0.79,0.59_0.62_0.6_0.55_0.59,0.02251286506652832,0.7788720414414434,0.97,0.97,0.91,0.8,0.5907142857142857,1746720777.1532376,distance,KNeighborsClassifier,,,7,,,,euclidean,,,,,,,,
SMOTE,,6,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,7,,0.26941728591918945,success,0.007583713531494141,0.3_0.33_0.31_0.61_0.15,0.69_0.71_0.73_0.67_0.68,0.023090553283691407,0.338742672972034,0.94,0.83,0.36,0.69,0.6959523809523809,1746720775.648059,distance,KNeighborsClassifier,,,14,,,,minkowski,,,,,,,,
NearMiss,1,,normalization_rebalancing_mitigation_features_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.8296997547149658,success,0.05601425170898437,0.49_0.42_0.88_0.58_0.91,0.63_0.66_0.65_0.6_0.6,0.06690802574157714,0.6538187467491032,0.9,0.92,0.68,0.92,0.6278571428571429,1746720774.8346686,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,0.39257025718688965,success,0.00512228012084961,0.29_0.26_0.51_0.55_0.24,0.65_0.61_0.64_0.61_0.58,0.052603292465209964,0.3680522213462044,1.0,0.47,0.41,0.76,0.6190476190476191,1746720773.5172412,,RandomForestClassifier,,,,,10,5,,4,2,3,,gini,True,,
NearMiss,4,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,SelectKBest,,4,0.5503368377685547,success,0.015117359161376954,0.8_0.82_0.9_0.87_0.35,0.74_0.65_0.69_0.59_0.64,0.051222944259643556,0.747085100594275,0.87,0.91,0.8,0.97,0.6630952380952381,1746720765.6111639,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,5,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,100,2.0,,SelectKBest,,6,9.14398717880249,fail,0.005500698089599609,0.42_0.0_1.0_nan_0.74,0.55_0.5_0.5_0.5_0.54,0.40732102394104003,-inf,0.6,1.0,0.54,0.75,0.5178571428571429,1746720764.5977137,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,features_normalization_rebalancing_mitigation_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,4,,0.24312496185302734,success,0.004220438003540039,0.72_0.68_0.72_0.73_0.7,0.65_0.62_0.55_0.59_0.5,0.025347232818603516,0.7070129029092872,0.71,0.96,0.81,0.89,0.5788095238095238,1746720754.9932733,,RandomForestClassifier,,,,,10,3,,3,4,3,,entropy,True,,
SMOTE,,6,normalization_features_rebalancing_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,SelectKBest,,8,0.3151381015777588,success,0.0059737682342529295,0.6_0.8_0.74_0.81_0.48,0.7_0.65_0.71_0.64_0.69,0.034007930755615236,0.6853080359461846,0.91,0.85,0.78,0.84,0.6788095238095238,1746720754.3035426,,RandomForestClassifier,,,,,10,6,,3,2,3,,gini,True,,
NearMiss,3,,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,1.3248107433319092,success,0.009955120086669923,0.0_0.0_0.28_0.0_0.0,0.66_0.65_0.63_0.58_0.66,0.23053674697875975,0.055384615384615386,0.89,0.99,0.06,0.89,0.6354761904761904,1746720753.542095,,RandomForestClassifier,,,,,100,2,,4,4,2,,entropy,True,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,SelectKBest,,6,0.3305227756500244,success,0.002356147766113281,1.0_1.0_0.91_1.0_1.0,0.5_0.5_0.58_0.5_0.5,0.04621891975402832,0.9826227738801944,0.98,1.0,0.99,0.98,0.5154761904761905,1746720751.7681422,,MLPClassifier,lbfgs,50,,1,,,,,,,constant,,,0.0001,tanh
SMOTE,,8,rebalancing_normalization_mitigation_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,4,,3.5395965576171875,success,0.0044101238250732425,0.55_0.73_0.61_0.69_0.64,0.61_0.67_0.69_0.6_0.71,0.6843481540679932,0.6443393056980998,0.8,0.97,0.83,0.71,0.6547619047619048,1746720750.989717,,MLPClassifier,adam,10,,10,,,,,,,invscaling,,,1e-05,relu
NearMiss,2,,rebalancing_normalization_mitigation_features_classification,,,,,PowerTransformer,LFR_wrapper,0.5,50,0.1,,SelectKBest,,6,19.482060194015503,success,0.008813858032226562,0.9_0.75_0.73_0.61_0.21,0.53_0.51_0.55_0.49_0.57,1.1423205852508544,0.6418925632007141,0.8,0.92,0.72,0.86,0.5309523809523811,1746720747.000784,,RandomForestClassifier,,,,,10,4,,6,2,3,,gini,True,,
NearMiss,4,,features_normalization_mitigation_rebalancing_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.5,SelectKBest,,5,0.5068197250366211,success,0.00707712173461914,0.6_0.48_0.72_0.58_0.15,0.71_0.59_0.69_0.55_0.6,0.07242693901062011,0.5060594818026011,0.62,1.0,0.52,0.72,0.628095238095238,1746720719.8842802,,RandomForestClassifier,,,,,50,2,,3,2,2,,gini,True,,
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,10,0.13730382919311523,success,0.003293943405151367,0.61_0.73_0.77_0.54_0.73,0.5_0.53_0.53_0.53_0.54,0.005690765380859375,0.6764136306056681,0.86,0.9,0.81,0.82,0.5230952380952381,1746720718.926163,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
SMOTE,,7,mitigation_normalization_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.5,,PCA,4,,23.910529613494873,success,0.006792974472045898,0.81_0.74_0.86_0.87_0.74,0.63_0.57_0.55_0.54_0.53,4.753740835189819,0.8055050320414245,0.83,1.0,0.85,0.9,0.5661904761904761,1746720718.3442547,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,4,,features_normalization_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,4,0.034735679626464844,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746720693.9839668,,MLPClassifier,adam,10,,20,,,,,,,adaptive,,,0.0001,tanh
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,2.906404733657837,success,0.0054242610931396484,0.89_0.98_0.92_0.9_0.9,0.56_0.55_0.52_0.55_0.52,0.5558471202850341,0.9176900635468259,0.92,0.97,0.98,0.95,0.5380952380952381,1746720693.5006392,,MLPClassifier,adam,10,,20,,,,,,,invscaling,,,0.01,logistic
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,1.0,,PCA,4,,0.0010514259338378906,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746720690.117058,,MLPClassifier,lbfgs,5,,1,,,,,,,adaptive,,,0.0001,tanh
