rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__type,classification__solver,classification__n_neurons,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,7,rebalancing_normalization_mitigation_features_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.75,PCA,4,,4.0531158447265625e-06,already_evaluated,0.004861021041870117,0.69_0.76_0.56_0.87_0.46,0.57_0.57_0.58_0.5_0.59,0.41559634208679197,0.6671907263908394,0.87,0.83,0.82,0.83,0.5616666666666668,1746694692.086171,MLPClassifier,lbfgs,10,10,,,,,,constant,,,0.01,tanh
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,SelectKBest,,6,3.5762786865234375e-06,already_evaluated,0.0027269840240478514,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.007636117935180664,-inf,-inf,-inf,-inf,-inf,0.5,1746694692.1991017,MLPClassifier,lbfgs,5,1,,,,,,constant,,,1e-05,logistic
SMOTE,,6,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,6,3.814697265625e-06,already_evaluated,0.004797935485839844,0.5_0.65_0.33_0.76_0.61,0.65_0.69_0.69_0.64_0.69,0.02390732765197754,0.5684469151155882,0.94,0.83,0.57,0.84,0.6711904761904762,1746694692.3145046,RandomForestClassifier,,,,10,5,2,4,3,,gini,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,4.0531158447265625e-06,already_evaluated,0.0055773258209228516,0.94_0.92_0.96_0.91_0.97,0.55_0.53_0.53_0.58_0.53,0.07625622749328613,0.9389691540430574,0.96,0.98,0.98,0.97,0.545952380952381,1746694692.4301615,RandomForestClassifier,,,,50,5,4,2,3,,entropy,True,,
SMOTE,,8,features_normalization_rebalancing_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.004582071304321289,0.19_0.62_0.79_0.7_0.66,0.65_0.71_0.68_0.63_0.64,0.33243379592895506,0.590401964098908,0.95,0.81,0.68,0.82,0.6611904761904761,1746694692.547057,MLPClassifier,sgd,10,1,,,,,,adaptive,,,1e-05,tanh
NearMiss,1,,mitigation_normalization_rebalancing_features_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.006258201599121094,0.83_0.9_0.0_1.0_0.38,0.62_0.55_0.5_0.5_0.52,2.7404422760009766,0.6218986175115206,0.73,0.8,0.64,0.94,0.5404761904761906,1746694692.6617217,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,tanh
NearMiss,2,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,3,4.0531158447265625e-06,already_evaluated,0.0035008907318115233,0.63_0.53_0.7_0.66_0.35,0.72_0.63_0.52_0.64_0.67,0.1583498477935791,0.5728011286632411,0.84,0.77,0.7,0.94,0.6371428571428572,1746694692.7771695,MLPClassifier,lbfgs,5,1,,,,,,invscaling,,,0.001,logistic
NearMiss,4,,features_mitigation_rebalancing_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,PCA,4,,1.9073486328125e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694692.9008925,MLPClassifier,sgd,5,1,,,,,,constant,,,0.0001,tanh
NearMiss,3,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,PCA,6,,3.5762786865234375e-06,already_evaluated,0.004926109313964843,0.39_0.77_0.63_0.0_0.0,0.59_0.67_0.71_0.56_0.58,0.046642398834228514,0.3576605578329716,0.84,0.6,0.48,0.86,0.6223809523809523,1746694693.0200977,RandomForestClassifier,,,,10,2,3,4,4,,entropy,True,,
SMOTE,,8,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,SelectKBest,,1,4.0531158447265625e-06,already_evaluated,0.004720449447631836,0.27_0.4_0.48_0.51_0.56,0.63_0.67_0.68_0.65_0.7,0.24001264572143555,0.4438046612617902,0.98,0.59,0.51,0.57,0.665,1746694693.1387272,MLPClassifier,lbfgs,5,5,,,,,,adaptive,,,0.0001,tanh
NearMiss,2,,rebalancing_features_normalization_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,2,,1.4066696166992188e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694693.258846,MLPClassifier,lbfgs,5,10,,,,,,constant,,,0.0001,logistic
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,100,2.0,,SelectKBest,,4,1.3589859008789062e-05,already_evaluated,0.006703662872314453,0.36_0.68_0.82_0.51_0.38,0.52_0.58_0.47_0.5_0.49,1.6285398483276368,0.5476073247635218,0.73,0.86,0.67,0.75,0.5138095238095238,1746694693.3799987,MLPClassifier,sgd,25,20,,,,,,adaptive,,,0.01,logistic
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,0.004181051254272461,0.16_0.65_0.93_0.44_0.44,0.67_0.69_0.68_0.64_0.66,0.572364091873169,0.5242061642061643,0.83,0.99,0.54,0.85,0.6680952380952381,1746694693.5035446,MLPClassifier,adam,10,20,,,,,,constant,,,0.001,logistic
NearMiss,4,,normalization_mitigation_rebalancing_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,PCA,5,,5.4836273193359375e-06,already_evaluated,0.007857847213745116,0.91_0.74_0.72_0.78_0.66,0.56_0.58_0.54_0.5_0.53,0.8855069160461426,0.7624623709642828,0.82,0.99,0.84,0.94,0.5414285714285714,1746694693.631607,RandomForestClassifier,,,,25,4,4,2,3,,gini,True,,
SMOTE,,6,features_rebalancing_mitigation_normalization_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,4,3.814697265625e-06,already_evaluated,0.0050374031066894535,0.94_0.75_0.87_0.68_0.48,0.69_0.67_0.71_0.65_0.68,0.021961450576782227,0.741103896103896,0.92,0.94,0.76,0.9,0.6823809523809523,1746694693.7593255,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,200,0.5,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.010082292556762695,0.56_0.51_0.71_0.52_0.73,0.67_0.6_0.63_0.55_0.53,0.7926255702972412,0.6060208292968059,0.9,0.78,0.61,0.93,0.5964285714285714,1746694693.8741927,MLPClassifier,lbfgs,25,1,,,,,,constant,,,0.001,relu
SMOTE,,8,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,PCA,3,,1.4781951904296875e-05,already_evaluated,0.004556131362915039,0.74_0.69_0.68_0.63_0.63,0.61_0.52_0.57_0.54_0.54,0.026569509506225587,0.6756342109620798,0.77,0.86,0.83,0.85,0.5552380952380952,1746694693.9838037,RandomForestClassifier,,,,10,3,6,4,1,,entropy,True,,
SMOTE,,6,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,2.0,200,1.0,,SelectKBest,,6,3.337860107421875e-06,already_evaluated,0.008902883529663086,0.86_0.74_0.77_0.51_0.81,0.6_0.58_0.54_0.51_0.52,1.1837844848632812,0.7380422710018657,0.76,1.0,0.81,0.84,0.5499999999999999,1746694694.0944092,MLPClassifier,lbfgs,5,5,,,,,,adaptive,,,0.0001,logistic
SMOTE,,5,rebalancing_mitigation_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,3.5762786865234375e-06,already_evaluated,0.0065952777862548825,0.89_0.68_0.82_0.7_0.48,0.53_0.58_0.55_0.52_0.52,1.169631052017212,0.7103614017373745,0.78,1.0,0.77,0.87,0.5404761904761906,1746694694.20657,MLPClassifier,lbfgs,25,1,,,,,,invscaling,,,0.0001,tanh
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,1,,5.0067901611328125e-06,already_evaluated,0.004587507247924805,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.02146258354187012,1.0,1.0,1.0,1.0,1.0,0.5,1746694694.3219318,RandomForestClassifier,,,,10,5,3,3,4,,entropy,True,,
NearMiss,2,,features_normalization_mitigation_rebalancing_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,6,5.0067901611328125e-06,already_evaluated,0.003851652145385742,0.0_0.55_0.8_nan_0.95,0.52_0.67_0.54_0.5_0.5,0.06126108169555664,-inf,0.88,0.99,0.59,0.82,0.5452380952380953,1746694694.435381,MLPClassifier,lbfgs,5,10,,,,,,constant,,,0.01,tanh
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,0.1,,SelectKBest,,3,4.5299530029296875e-06,already_evaluated,0.010367870330810547,1.0_1.0_1.0_0.8_1.0,0.5_0.5_0.5_0.55_0.5,1.1050713539123536,0.96,0.99,1.0,0.96,0.98,0.509047619047619,1746694694.549214,RandomForestClassifier,,,,25,2,3,1,4,,gini,False,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,PCA,4,,2.574920654296875e-05,already_evaluated,0.010016059875488282,0.95_1.0_1.0_1.0_1.0,0.53_0.5_0.5_0.5_0.5,3.7533548355102537,0.9905882352941177,1.0,1.0,0.99,0.99,0.5059523809523809,1746694694.6671076,RandomForestClassifier,,,,75,6,4,4,1,,entropy,False,,
NearMiss,2,,rebalancing_normalization_features_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.0040263175964355465,0.34_0.45_0.49_0.63_0.63,0.64_0.67_0.67_0.65_0.65,0.2418206214904785,0.5101141853315767,0.86,0.91,0.51,0.83,0.6552380952380952,1746694694.793838,MLPClassifier,adam,5,1,,,,,,adaptive,,,0.0001,tanh
NearMiss,4,,features_rebalancing_normalization_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,1.0,200,0.1,,PCA,2,,5.9604644775390625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694694.9208863,MLPClassifier,lbfgs,5,20,,,,,,adaptive,,,0.0001,logistic
SMOTE,,5,features_mitigation_normalization_rebalancing_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,6.198883056640625e-06,already_evaluated,0.0031659603118896484,nan_nan_0.9_nan_nan,0.5_0.5_0.58_0.5_0.5,0.04147505760192871,-inf,0.96,0.9,0.97,1.0,0.5166666666666667,1746694695.05131,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.0001,relu
NearMiss,3,,normalization_rebalancing_mitigation_features_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.75,PCA,5,,5.7220458984375e-06,already_evaluated,0.0082183837890625,0.77_0.67_0.74_0.65_0.59,0.61_0.57_0.55_0.52_0.51,0.10749406814575195,0.6847667633917264,0.71,1.0,0.77,0.82,0.5533333333333333,1746694695.1846454,RandomForestClassifier,,,,25,6,2,4,5,,entropy,True,,
SMOTE,,5,normalization_mitigation_rebalancing_features_classification,,False,,False,RobustScaler,FunctionTransformer,,,,,PCA,4,,5.9604644775390625e-06,already_evaluated,0.006500864028930664,0.5_0.56_0.55_0.63_0.19,0.57_0.53_0.66_0.56_0.6,0.04803147315979004,0.484754765702134,0.87,0.78,0.66,0.69,0.5850000000000001,1746694695.3163323,RandomForestClassifier,,,,10,4,4,1,3,,gini,True,,
SMOTE,,6,normalization_features_rebalancing_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,PCA,5,,4.291534423828125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694695.4472396,MLPClassifier,lbfgs,5,1,,,,,,adaptive,,,0.0001,logistic
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,PCA,4,,1.7881393432617188e-05,already_evaluated,0.007762002944946289,0.85_0.6_0.72_0.51_0.41,0.56_0.55_0.54_0.51_0.5,1.8420551776885987,0.6164456869459829,0.68,1.0,0.67,0.82,0.5335714285714286,1746694695.5817401,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,SelectKBest,,6,3.337860107421875e-06,already_evaluated,0.0041371345520019535,0.76_0.9_0.93_0.91_0.74,0.59_0.53_0.54_0.56_0.55,0.019410991668701173,0.8467959243477715,0.96,0.95,0.86,0.98,0.5540476190476189,1746694695.7154975,RandomForestClassifier,,,,10,3,4,2,3,,gini,True,,
NearMiss,2,,features_rebalancing_normalization_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,1.0,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.061082649230957034,0.74_0.49_0.61_0.5_0.57,0.57_0.6_0.51_0.52_0.61,26.512627792358398,0.5824805076660079,0.69,0.9,0.71,0.93,0.5602380952380952,1746694695.849098,MLPClassifier,lbfgs,50,10,,,,,,constant,,,0.001,logistic
SMOTE,,8,features_normalization_rebalancing_mitigation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,PCA,4,,3.5762786865234375e-06,already_evaluated,0.009115171432495118,0.7_0.35_0.77_0.62_0.47,0.64_0.6_0.62_0.57_0.66,0.19773378372192382,0.5805088874259381,0.91,0.72,0.89,0.73,0.6178571428571429,1746694695.9836724,RandomForestClassifier,,,,100,4,4,2,3,,entropy,True,,
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,PCA,4,,3.5762786865234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694696.1191275,MLPClassifier,sgd,10,20,,,,,,invscaling,,,1e-05,logistic
NearMiss,1,,mitigation_normalization_rebalancing_features_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,100,1.0,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.005596160888671875,0.51_0.49_0.77_0.74_0.0,0.58_0.42_0.54_0.55_0.53,4.831840133666992,0.503932397877352,0.67,0.99,0.55,0.87,0.525,1746694696.256142,MLPClassifier,sgd,50,1,,,,,,adaptive,,,0.01,relu
NearMiss,2,,mitigation_normalization_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,PCA,5,,3.5762786865234375e-06,already_evaluated,0.0033138751983642577,0.54_0.36_0.58_0.21_0.0,0.63_0.58_0.56_0.5_0.55,0.01967196464538574,0.3387899502308569,0.67,0.99,0.35,0.81,0.5628571428571428,1746694696.3946018,RandomForestClassifier,,,,10,4,4,2,3,,gini,False,,
SMOTE,,6,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.004419183731079102,0.0_0.0_0.0_0.0_0.0,0.61_0.63_0.59_0.61_0.55,0.1710728168487549,0.0,0.94,0.15,0.0,0.9,0.599047619047619,1746694696.5334837,MLPClassifier,sgd,5,1,,,,,,constant,,,0.0001,logistic
SMOTE,,7,mitigation_normalization_rebalancing_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,10,0.1,,FunctionTransformer,,,1.8835067749023438e-05,already_evaluated,0.008170127868652344,0.89_0.6_0.84_0.8_nan,0.53_0.55_0.54_0.56_0.5,2.2329076766967773,-inf,0.81,0.99,0.85,0.9,0.5371428571428571,1746694696.6751158,MLPClassifier,lbfgs,5,20,,,,,,invscaling,,,0.01,relu
NearMiss,4,,mitigation_rebalancing_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,5.7220458984375e-06,already_evaluated,0.0035103797912597657,0.6_0.8_0.88_0.79_0.63,0.66_0.68_0.7_0.63_0.66,0.11476435661315917,0.7406336008924448,0.94,0.88,0.81,0.84,0.6652380952380952,1746694696.8249712,MLPClassifier,adam,25,5,,,,,,invscaling,,,1e-05,tanh
NearMiss,2,,mitigation_normalization_features_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,4,,5.4836273193359375e-06,already_evaluated,0.003997802734375,0.0_0.0_0.0_0.0_0.0,0.55_0.54_0.55_0.58_0.52,0.02474498748779297,0.0,0.85,0.21,0.0,0.91,0.5454761904761904,1746694696.9666896,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,200,0.1,,PCA,8,,1.4543533325195312e-05,already_evaluated,0.006513166427612305,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,1.2334383964538573,1.0,1.0,1.0,1.0,1.0,0.5,1746694697.1096275,MLPClassifier,sgd,25,5,,,,,,invscaling,,,0.0001,logistic
NearMiss,4,,features_normalization_mitigation_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,200,0.1,,PCA,4,,3.5762786865234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694697.253317,MLPClassifier,sgd,5,1,,,,,,adaptive,,,0.0001,tanh
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,0.1,,PCA,3,,3.5762786865234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694697.3986485,MLPClassifier,lbfgs,25,10,,,,,,constant,,,0.01,relu
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,100,0.1,,SelectKBest,,8,1.52587890625e-05,already_evaluated,0.013952064514160156,0.36_0.66_0.79_0.76_0.69,0.58_0.61_0.56_0.61_0.58,1.339182472229004,0.6505036710920303,0.79,0.91,0.79,0.81,0.5888095238095238,1746694697.5451536,RandomForestClassifier,,,,100,2,3,1,3,,gini,False,,
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.5,SelectKBest,,8,1.2874603271484375e-05,already_evaluated,0.003641986846923828,0.27_0.52_0.28_0.62_0.15,0.62_0.65_0.67_0.66_0.64,0.339917516708374,0.3662045593699207,0.79,0.97,0.39,0.85,0.6492857142857142,1746694697.6925635,MLPClassifier,lbfgs,25,5,,,,,,invscaling,,,0.01,relu
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,200,0.1,,PCA,4,,3.337860107421875e-06,already_evaluated,0.009893226623535156,0.82_0.68_0.67_0.51_0.74,0.57_0.57_0.54_0.5_0.52,1.557396125793457,0.6829306172108777,0.72,0.99,0.74,0.81,0.5395238095238095,1746694697.8423004,RandomForestClassifier,,,,50,6,3,1,3,,gini,False,,
SMOTE,,6,features_normalization_rebalancing_mitigation_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,6,3.337860107421875e-06,already_evaluated,0.007119989395141602,0.5_0.65_0.82_0.76_0.61,0.65_0.69_0.72_0.64_0.69,0.07457060813903808,0.6660265576952307,0.97,0.8,0.67,0.87,0.6766666666666667,1746694697.9928358,RandomForestClassifier,,,,50,3,2,4,5,,gini,False,,
FunctionTransformer,,,features_mitigation_rebalancing_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,PCA,4,,5.0067901611328125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694698.1436605,MLPClassifier,adam,10,20,,,,,,constant,,,1e-05,tanh
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,PCA,2,,6.198883056640625e-06,already_evaluated,0.0032509803771972657,0.95_0.7_0.96_0.9_0.84,0.5_0.56_0.51_0.52_0.5,0.02039046287536621,0.8718720199927658,0.95,1.0,0.89,0.97,0.516904761904762,1746694698.2963877,RandomForestClassifier,,,,10,3,4,2,3,,gini,True,,
SMOTE,,5,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,5.4836273193359375e-06,already_evaluated,0.0035144805908203123,0.9_0.85_0.89_0.79_0.89,0.49_0.54_0.49_0.52_0.55,0.11694059371948243,0.8637534520242081,0.92,1.0,0.92,0.86,0.5176190476190475,1746694698.449945,MLPClassifier,sgd,25,10,,,,,,invscaling,,,0.001,tanh
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,4.5299530029296875e-06,already_evaluated,0.005927610397338867,0.51_0.48_0.68_0.67_0.74,0.58_0.55_0.53_0.51_0.52,3.5415284633636475,0.6172159603902724,0.67,1.0,0.66,0.81,0.5373809523809523,1746694698.6076217,MLPClassifier,lbfgs,10,1,,,,,,invscaling,,,0.01,logistic
SMOTE,,6,features_normalization_rebalancing_mitigation_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.004320812225341797,0.99_nan_0.72_nan_nan,0.5_0.5_0.66_0.5_0.5,0.02672877311706543,-inf,1.0,0.95,0.87,0.86,0.530952380952381,1746694698.7630348,MLPClassifier,lbfgs,5,1,,,,,,constant,,,1e-05,logistic
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,2.0,,SelectKBest,,4,1.4066696166992188e-05,already_evaluated,0.006652927398681641,0.79_0.77_0.72_0.79_0.74,0.6_0.53_0.53_0.54_0.54,0.9757841110229493,0.7611746718060093,0.82,0.88,0.86,0.89,0.5488095238095237,1746694698.919222,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
FunctionTransformer,,,rebalancing_features_normalization_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,PCA,6,,1.4781951904296875e-05,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694699.0770736,MLPClassifier,adam,5,10,,,,,,invscaling,,,0.0001,logistic
NearMiss,3,,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,1.0,,SelectKBest,,6,3.337860107421875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694699.2350948,MLPClassifier,adam,50,5,,,,,,invscaling,,,0.001,tanh
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.006042671203613281,0.96_1.0_0.97_0.9_1.0,0.54_0.5_0.5_0.51_0.5,1.65669846534729,0.9672226855713095,0.97,1.0,0.98,0.99,0.5102380952380952,1746694699.3948414,MLPClassifier,lbfgs,5,5,,,,,,invscaling,,,0.001,logistic
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,1.0,,SelectKBest,,6,3.5762786865234375e-06,already_evaluated,0.006804227828979492,0.84_0.48_0.71_0.52_0.74,0.56_0.55_0.53_0.49_0.51,1.7958945751190185,0.6581081187728125,0.68,1.0,0.73,0.81,0.5307142857142857,1746694699.5698853,MLPClassifier,lbfgs,25,5,,,,,,constant,,,0.01,tanh
NearMiss,3,,rebalancing_normalization_mitigation_features_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,4,5.0067901611328125e-06,already_evaluated,0.005336380004882813,0.26_0.26_0.79_0.78_0.21,0.69_0.62_0.7_0.58_0.62,0.06990737915039062,0.4600109217999126,0.76,0.92,0.55,0.85,0.6442857142857144,1746694699.74373,RandomForestClassifier,,,,10,6,3,4,5,,gini,True,,
NearMiss,4,,rebalancing_features_mitigation_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.25,PCA,5,,4.5299530029296875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694699.918444,MLPClassifier,lbfgs,25,20,,,,,,adaptive,,,0.0001,relu
NearMiss,2,,features_mitigation_rebalancing_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,100,0.1,,PCA,7,,4.0531158447265625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694700.096055,MLPClassifier,sgd,10,20,,,,,,constant,,,0.01,relu
SMOTE,,8,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,5.0067901611328125e-06,already_evaluated,0.0039694786071777345,0.69_0.58_0.48_0.48_0.75,0.65_0.69_0.68_0.65_0.7,0.10921692848205566,0.595416282642089,0.93,0.85,0.7,0.77,0.6754761904761905,1746694700.2735195,MLPClassifier,lbfgs,5,1,,,,,,constant,,,0.01,logistic
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,200,1.0,,SelectKBest,,5,2.4318695068359375e-05,already_evaluated,0.006741857528686524,nan_0.7_0.77_0.72_nan,0.5_0.6_0.49_0.52_0.5,1.1411349296569824,-inf,0.8,1.0,0.74,0.9,0.520952380952381,1746694700.455251,MLPClassifier,sgd,25,20,,,,,,constant,,,1e-05,tanh
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,2.0,,SelectKBest,,6,5.0067901611328125e-06,already_evaluated,0.007803821563720703,0.6_0.45_0.74_0.7_0.83,0.63_0.57_0.59_0.65_0.59,0.6650701522827148,0.6647851325084336,0.86,0.88,0.79,0.81,0.6088095238095238,1746694700.6362734,MLPClassifier,lbfgs,5,5,,,,,,constant,,,1e-05,tanh
SMOTE,,5,mitigation_features_rebalancing_normalization_classification,,False,,True,RobustScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.0035142898559570312,0.52_0.68_0.88_0.32_0.51,0.65_0.72_0.65_0.64_0.62,0.36480154991149905,0.5811746031746032,0.83,0.91,0.58,0.88,0.6561904761904762,1746694700.8161209,MLPClassifier,adam,5,10,,,,,,adaptive,,,0.0001,logistic
