rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__type,classification__solver,classification__n_neurons,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.5,10,0.1,,SelectKBest,,9,5.4836273193359375e-06,already_evaluated,0.007553529739379883,0.84_0.48_0.68_0.66_0.41,0.56_0.55_0.55_0.51_0.51,2.36458740234375,0.6143600996875025,0.67,1.0,0.7,0.81,0.5342857142857143,1746694688.2627459,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
SMOTE,,5,features_normalization_mitigation_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,4.5299530029296875e-06,already_evaluated,0.004735708236694336,0.55_0.61_0.69_0.89_0.68,0.61_0.68_0.66_0.66_0.61,0.14774169921875,0.6857245438048191,0.89,0.93,0.71,0.89,0.6421428571428571,1746694688.325985,MLPClassifier,lbfgs,5,1,,,,,,adaptive,,,0.0001,logistic
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,100,0.5,,PCA,4,,4.291534423828125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694688.3923848,MLPClassifier,lbfgs,25,5,,,,,,constant,,,0.01,tanh
NearMiss,3,,mitigation_features_normalization_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,1.0,PCA,3,,4.76837158203125e-06,already_evaluated,0.006253576278686524,0.26_0.36_0.53_0.34_0.0,0.59_0.6_0.57_0.58_0.55,0.08691172599792481,0.29819981325863687,0.88,0.98,0.3,0.94,0.5754761904761905,1746694688.4575868,RandomForestClassifier,,,,50,4,2,3,4,,entropy,True,,
SMOTE,,7,features_rebalancing_normalization_mitigation_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,PCA,3,,4.0531158447265625e-06,already_evaluated,0.007134628295898437,0.92_0.44_0.73_0.7_0.74,0.53_0.5_0.55_0.54_0.52,0.07350277900695801,0.7073454264807433,0.78,0.88,0.92,0.85,0.5266666666666666,1746694688.5239239,RandomForestClassifier,,,,50,4,2,4,1,,gini,False,,
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.005827760696411133,0.91_0.86_0.81_0.88_0.91,0.62_0.6_0.61_0.63_0.58,0.5383256435394287,0.8737544946403583,0.91,0.95,0.99,0.9,0.6083333333333334,1746694688.5911257,MLPClassifier,adam,25,10,,,,,,invscaling,,,1e-05,logistic
NearMiss,3,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,1.0,,PCA,8,,4.0531158447265625e-06,already_evaluated,0.006031703948974609,0.89_0.74_0.7_0.67_0.63,0.53_0.58_0.52_0.51_0.56,2.3204036712646485,0.7279716328446374,0.79,1.0,0.78,0.84,0.5404761904761906,1746694688.6577537,MLPClassifier,lbfgs,10,5,,,,,,invscaling,,,1e-05,tanh
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,False,,False,RobustScaler,CorrelationRemover,,,,1.0,PCA,3,,4.0531158447265625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694688.718234,MLPClassifier,lbfgs,25,1,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,LFR_wrapper,0.5,10,0.1,,SelectKBest,,4,4.0531158447265625e-06,already_evaluated,0.007395172119140625,0.9_0.9_1.0_1.0_0.9,0.54_0.57_0.5_0.5_0.52,1.1551066875457763,0.9400000000000001,0.96,1.0,0.94,0.97,0.5264285714285715,1746694688.7799773,RandomForestClassifier,,,,10,4,4,2,3,,gini,True,,
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.006874561309814453,0.9_0.89_0.94_1.0_0.88,0.59_0.63_0.52_0.5_0.58,0.871192741394043,0.9214552491446467,0.96,0.96,0.96,0.94,0.565952380952381,1746694688.8488548,MLPClassifier,lbfgs,10,5,,,,,,invscaling,,,0.01,tanh
