rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.2756636142730713,success,0.009774446487426758,0.0_0.15_0.36_0.6_0.0,0.7_0.68_0.61_0.65_0.66,0.22077088356018065,0.22257560975609758,0.89,0.91,0.22,0.88,0.6592857142857143,1746692335.0694773,,RandomForestClassifier,,,,,100,3,,5,2,2,,entropy,False,,
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,7,,0.0004172325134277344,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692333.5956786,,MLPClassifier,lbfgs,5,,20,,,,,,,constant,,,1e-05,relu
FunctionTransformer,,,features_rebalancing_normalization_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,2.0,50,0.5,,FunctionTransformer,,,2.85129451751709,fail,0.009209823608398438,,,0.5581372737884521,-inf,-inf,-inf,-inf,-inf,-inf,1746692333.396938,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,7,0.6821231842041016,success,0.005327081680297852,0.68_0.76_0.71_0.79_0.85,0.69_0.66_0.72_0.7_0.63,0.1072575569152832,0.7596742642463665,0.95,0.83,0.88,0.87,0.680952380952381,1746692330.34467,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.2713623046875,success,0.005826377868652343,0.9_0.97_0.98_0.9_0.98,0.51_0.52_0.5_0.52_0.5,0.02842288017272949,0.9465470917285647,0.98,1.0,0.96,0.99,0.5116666666666667,1746692326.1641805,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,False,,
SMOTE,,7,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,1.0,,SelectKBest,,6,0.033442020416259766,fail,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692325.6990669,uniform,KNeighborsClassifier,,,17,,,,manhattan,,,,,,,,
NearMiss,1,,normalization_rebalancing_features_mitigation_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,0.9288768768310547,success,0.007576417922973633,0.75_0.45_0.81_0.32_0.0,0.58_0.62_0.61_0.65_0.57,0.15759620666503907,0.46617180205415504,0.87,0.97,0.5,0.88,0.6061904761904762,1746692325.4724662,,MLPClassifier,lbfgs,5,,10,,,,,,,adaptive,,,0.0001,logistic
NearMiss,3,,features_rebalancing_mitigation_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,13.279235363006592,fail,0.07150530815124512,nan_nan_0.0_0.0_nan,0.5_0.5_0.5_0.51_0.5,2.5306416034698485,-inf,1.0,0.0,0.0,0.0,0.5021428571428571,1746692324.3528194,uniform,KNeighborsClassifier,,,4,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,7,,1.9065253734588623,success,0.004227256774902344,0.74_0.56_0.73_0.74_0.69,0.68_0.64_0.7_0.62_0.63,0.35713939666748046,0.6919116985286679,0.95,0.88,0.74,0.79,0.6507142857142857,1746692310.8851154,,MLPClassifier,lbfgs,25,,5,,,,,,,adaptive,,,0.0001,tanh
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,0.3648860454559326,success,0.0048943042755126955,0.92_0.9_0.8_0.9_0.9,0.53_0.54_0.55_0.52_0.53,0.048312711715698245,0.8836612021857924,0.96,0.98,0.9,0.93,0.5328571428571428,1746692308.7912397,,RandomForestClassifier,,,,,10,2,,5,4,3,,gini,True,,
