rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,0.5,,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.00893406867980957,0.79_0.5_0.6_0.62_0.42,0.56_0.58_0.54_0.56_0.52,8.981844902038574,0.5861777739076589,0.64,0.9,0.69,0.75,0.5507142857142856,1746706349.0647182,,RandomForestClassifier,,,,,25,2,,5,1,2,,entropy,True,,
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.007920598983764649,0.44_0.5_0.76_0.59_0.47,0.62_0.59_0.54_0.56_0.51,12.07417860031128,0.5502988505747127,0.64,0.8,0.64,0.73,0.5640476190476191,1746706349.0948164,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.1,,SelectKBest,,7,4.0531158447265625e-06,already_evaluated,0.015630817413330077,0.0_nan_nan_nan_nan,0.51_0.5_0.5_0.5_0.5,12.708250713348388,-inf,0.07,0.0,1.0,0.0,0.5014285714285714,1746706349.1229322,uniform,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,3.5762786865234375e-06,already_evaluated,0.009963464736938477,0.79_1.0_0.93_0.83_1.0,0.54_0.5_0.5_0.51_0.5,9.358104610443116,0.910016420361248,0.95,0.97,0.92,0.98,0.5109523809523809,1746706349.152448,,RandomForestClassifier,,,,,50,6,,5,1,3,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.09922847747802735,0.64_0.5_0.73_0.64_0.68,0.6_0.62_0.58_0.59_0.6,0.005365991592407226,0.6363636363636364,0.73,0.96,0.7,0.66,0.5980952380952381,1746706349.183129,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,3.0994415283203125e-06,already_evaluated,0.009921503067016602,0.42_0.46_0.59_0.42_0.0,0.64_0.62_0.55_0.57_0.51,0.20053582191467284,0.3770898641588297,0.52,0.95,0.43,0.68,0.579047619047619,1746706349.2155957,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.5,10,0.1,,SelectKBest,,4,91.27217531204224,fail,0.006498527526855469,,,13.416407775878906,-inf,-inf,-inf,-inf,-inf,-inf,1746706441.545517,,RandomForestClassifier,,,,,10,4,,4,2,4,,gini,False,,
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,100,0.1,,FunctionTransformer,,,53.29545545578003,fail,0.011936712265014648,0.77_0.58_0.76_0.52_nan,0.58_0.58_0.54_0.55_0.5,10.610422039031983,-inf,0.66,0.85,0.84,0.8,0.5485714285714286,1746706494.883417,,RandomForestClassifier,,,,,75,3,,4,2,5,,gini,True,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.75,SelectKBest,,10,0.7948558330535889,success,0.00657811164855957,0.26_0.0_0.0_0.0_0.0,0.58_0.63_0.63_0.58_0.61,0.08629407882690429,0.052727272727272734,1.0,0.28,0.07,0.51,0.605952380952381,1746706495.7165365,,RandomForestClassifier,,,,,10,3,,4,1,3,,gini,True,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,81.15187096595764,success,0.010869646072387695,0.79_0.5_0.76_0.6_0.42,0.53_0.6_0.54_0.54_0.52,16.169227123260498,0.6137154799223765,0.72,0.88,0.69,0.81,0.5457142857142856,1746706576.9318569,,RandomForestClassifier,,,,,50,2,,3,4,1,,entropy,False,,
