rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,6,5.3640217781066895,success,0.007252264022827149,0.83_0.78_0.81_0.73_0.74,0.62_0.6_0.53_0.55_0.51,0.5901549339294434,0.7795743148613379,0.84,0.97,0.8,0.92,0.5630952380952381,1746732959.2767491,,MLPClassifier,lbfgs,5,,1,,,,,,,invscaling,,,0.0001,tanh
NearMiss,2,,normalization_rebalancing_features_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,50,0.1,,FunctionTransformer,,,10.792072772979736,success,0.009416913986206055,0.33_0.74_0.61_0.54_0.74,0.54_0.58_0.53_0.5_0.51,2.125273323059082,0.5927127025400096,0.66,1.0,0.65,0.8,0.534047619047619,1746732953.384301,,RandomForestClassifier,,,,,75,4,,6,1,4,,entropy,True,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,0.5,,PCA,3,,5.094690322875977,success,0.007023000717163086,0.82_0.74_0.82_0.51_0.74,0.58_0.58_0.55_0.5_0.51,0.9874205112457275,0.7255237094936623,0.77,0.99,0.8,0.88,0.5449999999999999,1746732942.0740857,,MLPClassifier,lbfgs,50,,1,,,,,,,invscaling,,,1e-05,tanh
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.8095412254333496,success,0.004038619995117188,0.84_0.95_0.83_0.68_0.76,0.64_0.65_0.58_0.62_0.66,0.3385326385498047,0.8130518053375196,0.94,0.96,0.83,0.93,0.6297619047619047,1746732936.4648309,,MLPClassifier,lbfgs,50,,1,,,,,,,invscaling,,,0.0001,relu
NearMiss,4,,rebalancing_features_mitigation_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.079592227935791,success,0.007678985595703125,0.26_0.12_0.64_0.51_0.14,0.68_0.66_0.65_0.6_0.63,0.1857316017150879,0.3324761904761905,0.63,1.0,0.33,0.66,0.6457142857142857,1746732934.1486278,,RandomForestClassifier,,,,,50,4,,4,2,3,,gini,True,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,0.5161647796630859,success,0.06628594398498536,0.96_0.64_0.86_0.71_0.87,0.64_0.63_0.57_0.62_0.57,0.004047870635986328,0.8063142702678139,0.87,0.97,0.88,0.87,0.6057142857142856,1746732925.1468878,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,200,0.5,,SelectKBest,,10,5.650023937225342,success,0.007163858413696289,0.94_1.0_0.97_0.9_0.9,0.52_0.5_0.5_0.51_0.52,0.8285760879516602,0.9433843017329255,0.97,0.99,0.96,0.99,0.5088095238095238,1746732924.1177046,,RandomForestClassifier,,,,,10,6,,4,2,3,,gini,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,4.652179002761841,success,0.03239221572875976,1.0_0.9_0.72_0.71_0.74,0.5_0.55_0.53_0.51_0.54,0.8529027938842774,0.812670744138634,0.83,1.0,0.86,0.94,0.5254761904761904,1746732917.9584768,uniform,KNeighborsClassifier,,,9,,,,minkowski,,,,,,,,
NearMiss,1,,rebalancing_features_normalization_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,0.833402156829834,success,0.00815410614013672,0.13_0.12_0.53_0.25_0.0,0.62_0.63_0.56_0.6_0.58,0.1353860855102539,0.20626330532212886,0.77,1.0,0.21,0.89,0.5990476190476192,1746732912.7881896,,RandomForestClassifier,,,,,100,5,,6,3,1,,entropy,False,,
SMOTE,,7,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,1.0,,FunctionTransformer,,,4.3218584060668945,success,0.006607151031494141,0.84_0.74_0.69_0.78_0.74,0.56_0.59_0.52_0.56_0.52,0.8360392093658447,0.7582675304460496,0.82,0.97,0.84,0.9,0.552142857142857,1746732911.4267063,,MLPClassifier,lbfgs,5,,5,,,,,,,adaptive,,,0.001,logistic
