rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,5,rebalancing_mitigation_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,68.22837519645691,success,0.010227489471435546,0.1_0.12_0.09_0.12_0.1,0.8_0.8_0.8_0.81_0.8,13.541646194458007,0.10223993131181923,0.54,0.1,0.54,0.18,1.0,0.55,0.8029356945477419,1746741867.5121787,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,tanh
NearMiss,1,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,100,0.1,,SelectKBest,,8,67.74382305145264,success,0.029818391799926756,0.96_0.57_0.46_0.2_0.32,0.51_0.5_0.52_0.51_0.51,5.868786478042603,0.5026770889147293,0.84,0.87,0.82,0.93,0.78,0.53,0.5092766470567845,1746741799.1781857,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,10,2.0,,PCA,2,,10.052186727523804,success,0.03369150161743164,0.46_0.44_0.39_0.31_0.33,0.47_0.49_0.47_0.5_0.49,1.8623401165008544,0.3860578629864344,0.59,0.54,0.78,0.46,0.62,0.75,0.4850718107443076,1746741730.0560915,,RandomForestClassifier,,,,,10,6,,6,3,4,,entropy,False,,
SMOTE,,8,features_mitigation_rebalancing_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,1.0,100,0.5,,FunctionTransformer,,,32.709458351135254,fail,0.03224945068359375,1.0_1.0_1.0_nan_1.0,0.5_0.5_0.5_0.5_0.5,6.355405855178833,-inf,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1746741719.8959262,,MLPClassifier,sgd,5,,10,,,,,,,constant,,,1e-05,relu
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,100,2.0,,FunctionTransformer,,,14.080382585525513,fail,0.03941025733947754,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.6524853229522707,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746741687.079892,,RandomForestClassifier,,,,,100,2,,5,4,1,,gini,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,1.037423849105835,success,0.011236429214477539,0.0_0.0_0.0_0.0_0.0,0.59_0.59_0.58_0.59_0.58,0.08021020889282227,0.0,0.65,0.03,0.5,0.33,0.57,0.11,0.5857771448253221,1746741672.8825321,,RandomForestClassifier,,,,,10,4,,4,1,3,,gini,True,,
SMOTE,,6,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.5,,FunctionTransformer,,,52.576860189437866,fail,3.6024837493896484,nan_nan_0.0_nan_nan,0.5_0.5_0.5_0.5_0.5,3.1878568649291994,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.5000449954966236,1746741671.7311275,distance,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,2.9311161041259766,success,0.018584156036376955,0.0_0.0_0.0_0.0_0.0,0.68_0.68_0.69_0.68_0.68,0.46355586051940917,0.0,0.27,0.0,0.16,0.0,1.0,0.0,0.6821892918622983,1746741619.055214,,RandomForestClassifier,,,,,50,2,,4,3,3,,entropy,True,,
NearMiss,4,,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,7,57.550957918167114,fail,0.3046149253845215,1.0_1.0_1.0_nan_0.0,0.5_0.5_0.5_0.5_0.5,9.695816946029662,-inf,0.75,0.76,0.75,0.75,0.75,0.75,0.500075059287109,1746741616.0250707,,MLPClassifier,adam,50,,20,,,,,,,adaptive,,,0.001,logistic
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,22.42032527923584,success,2.1446221828460694,0.08_0.05_0.15_0.09_0.13,0.75_0.75_0.76_0.75_0.75,0.07133970260620118,0.09956336529978956,0.6,0.15,0.41,0.1,0.99,0.29,0.7508328233639909,1746741558.3733804,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,2,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,200,0.1,,PCA,4,,13.099927425384521,success,0.037014007568359375,0.49_0.3_0.24_0.13_0.3,0.47_0.5_0.49_0.5_0.5,2.4553464889526366,0.2930738239522314,0.48,0.43,0.79,0.45,0.5,0.48,0.491025573483071,1746741535.8539438,,RandomForestClassifier,,,,,100,6,,2,4,5,,gini,False,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,1.0,,SelectKBest,,9,51.57753944396973,fail,3.0535929203033447,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,3.757507562637329,-inf,0.0,0.0,0.0,1.0,0.0,0.0,0.49998499624906223,1746741522.6459873,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,4,,4.6387927532196045,fail,0.008788204193115235,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.8277076244354248,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746741470.9736156,,MLPClassifier,sgd,5,,1,,,,,,,invscaling,,,0.0001,logistic
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,1.0,,PCA,4,,70.51615118980408,fail,0.23415732383728027,0.72_nan_nan_1.0_nan,0.51_0.5_0.5_0.5_0.5,13.501956987380982,-inf,0.96,0.95,0.99,1.0,0.91,0.86,0.5027625403200485,1746741464.8647726,,MLPClassifier,adam,50,,10,,,,,,,constant,,,0.001,logistic
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,4,,4.8598573207855225,success,0.4321611404418945,0.06_0.07_0.08_0.08_0.04,0.67_0.67_0.66_0.66_0.65,0.04554734230041504,0.06589222775674619,0.84,0.07,0.13,0.26,0.41,0.43,0.6637332939844252,1746741394.25622,uniform,KNeighborsClassifier,,,19,,,,manhattan,,,,,,,,
SMOTE,,7,mitigation_normalization_features_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,3,,15.556464433670044,success,0.020464611053466798,0.29_0.16_0.16_0.12_0.15,0.75_0.72_0.72_0.73_0.73,2.9782073974609373,0.17582523738566086,0.76,0.2,0.78,0.22,0.99,0.26,0.7296114949831145,1746741389.2831416,,RandomForestClassifier,,,,,50,4,,5,4,5,,gini,True,,
NearMiss,2,,mitigation_normalization_features_rebalancing_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,24.636913776397705,success,0.02792220115661621,0.58_0.62_0.59_0.43_0.31,0.52_0.51_0.51_0.49_0.51,4.7863829135894775,0.5060678418564789,0.81,0.83,0.67,0.89,0.73,0.62,0.5106732284421385,1746741373.6327672,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,1e-05,logistic
