rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.7220458984375e-06,already_evaluated,0.005533266067504883,,,0.9236709594726562,-inf,-inf,-inf,-inf,-inf,-inf,1746694162.9701605,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,4.76837158203125e-06,already_evaluated,0.004227447509765625,0.52_1.0_1.0_0.64_1.0,0.53_0.5_0.5_0.52_0.5,0.14763851165771485,0.8307210031347962,0.86,1.0,1.0,0.93,0.5097619047619047,1746694162.9807088,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.004440784454345703,0.2_0.4_0.4_0.74_0.62,0.6_0.6_0.59_0.6_0.61,0.06777734756469726,0.47333855799373037,0.75,0.59,0.58,0.78,0.5988095238095238,1746694162.9924948,,MLPClassifier,lbfgs,5,,10,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,4,3.337860107421875e-06,already_evaluated,0.004378080368041992,0.8_0.75_0.93_0.83_0.91,0.54_0.56_0.51_0.52_0.53,0.017955207824707033,0.8446917450365726,0.9,0.96,0.92,0.92,0.5295238095238095,1746694163.0053902,,RandomForestClassifier,,,,,10,4,,4,1,3,,gini,True,,
SMOTE,,6,normalization_features_mitigation_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,10,0.5,,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.038685274124145505,0.85_1.0_0.97_0.83_0.83,0.54_0.5_0.5_0.51_0.52,0.8792676448822021,0.8964367816091954,0.93,1.0,0.92,0.94,0.5152380952380952,1746694163.0197895,distance,KNeighborsClassifier,,,14,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,50,0.1,,PCA,2,,3.337860107421875e-06,already_evaluated,0.005988121032714844,0.86_0.75_0.93_0.83_0.91,0.54_0.57_0.5_0.52_0.53,1.0819210529327392,0.8559561128526646,0.88,1.0,0.92,0.93,0.5314285714285714,1746694163.0355234,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,relu
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,False,,True,RobustScaler,FunctionTransformer,,,,,PCA,4,,3.0994415283203125e-06,already_evaluated,0.006528425216674805,0.75_0.75_0.92_0.83_0.72,0.52_0.59_0.51_0.52_0.52,0.12736053466796876,0.7948717948717949,0.84,0.98,0.84,0.94,0.5316666666666666,1746694163.0530326,,RandomForestClassifier,,,,,50,5,,4,4,5,,gini,False,,
SMOTE,,5,normalization_mitigation_rebalancing_features_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,200,0.1,,FunctionTransformer,,,3.0994415283203125e-06,already_evaluated,0.008290338516235351,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.7482775688171387,-inf,-inf,-inf,-inf,-inf,0.5,1746694163.070351,,MLPClassifier,sgd,25,,20,,,,,,,invscaling,,,0.0001,logistic
NearMiss,1,,rebalancing_features_mitigation_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,3.0994415283203125e-06,already_evaluated,0.004627895355224609,0.42_0.72_0.56_0.53_0.46,0.6_0.61_0.56_0.57_0.6,0.2489293098449707,0.5381800766283525,0.63,0.75,0.67,0.82,0.5880952380952381,1746694163.087087,,MLPClassifier,sgd,25,,1,,,,,,,adaptive,,,1e-05,logistic
NearMiss,3,,normalization_features_mitigation_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.0994415283203125e-06,already_evaluated,0.016149425506591798,0.42_0.58_0.56_0.21_0.0,0.56_0.55_0.49_0.49_0.5,0.022918319702148436,0.3544932079414838,0.58,0.98,0.37,0.65,0.5197619047619048,1746694163.1058297,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,100,0.1,,PCA,1,,2.86102294921875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746694163.1254764,uniform,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
