rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.245208740234375e-06,already_evaluated,0.006229257583618164,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.990714693069458,1.0,1.0,1.0,1.0,1.0,0.5,1746692652.7246234,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,3,,features_normalization_rebalancing_mitigation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.004430389404296875,0.0_0.0_0.17_0.47_0.0,0.7_0.69_0.64_0.63_0.62,0.08319997787475586,0.1274242424242424,0.41,1.0,0.25,0.37,0.6542857142857142,1746692652.79006,,RandomForestClassifier,,,,,10,4,,6,1,5,,gini,True,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,SelectKBest,,9,4.5299530029296875e-06,already_evaluated,0.013235902786254883,0.0_0.0_0.0_0.0_0.0,0.59_0.56_0.54_0.56_0.5,0.008063840866088866,0.0,0.68,0.74,0.0,0.78,0.5492857142857143,1746692652.8528712,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.5,10,1.0,,PCA,4,,4.5299530029296875e-06,already_evaluated,0.006955289840698242,1.0_0.77_0.83_0.99_0.5,0.5_0.55_0.51_0.5_0.53,0.3432525634765625,0.8172278911564627,0.97,0.96,0.83,0.92,0.5180952380952382,1746692652.9171228,,MLPClassifier,lbfgs,5,,1,,,,,,,invscaling,,,0.0001,logistic
NearMiss,2,,features_normalization_mitigation_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,4,,5.4836273193359375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692652.9825485,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
SMOTE,,5,normalization_features_rebalancing_mitigation_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,4,,5.7220458984375e-06,already_evaluated,0.013286828994750977,0.42_0.0_0.18_0.0_0.42,0.6_0.59_0.59_0.6_0.58,0.018424320220947265,0.20303030303030303,0.75,0.77,0.34,0.61,0.5907142857142856,1746692653.0522785,uniform,KNeighborsClassifier,,,13,,,,minkowski,,,,,,,,
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,0.00495762825012207,0.0_0.62_0.23_0.46_0.0,0.64_0.69_0.62_0.58_0.6,0.22175817489624022,0.2624085684430512,0.58,0.69,0.42,0.48,0.6264285714285714,1746692653.1269462,,MLPClassifier,lbfgs,5,,5,,,,,,,constant,,,0.0001,logistic
SMOTE,,7,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,PCA,1,,7.867813110351562e-06,already_evaluated,0.011661720275878907,0.75_0.32_0.56_0.51_0.68,0.57_0.52_0.55_0.54_0.53,0.008269166946411133,0.564098602338404,0.68,0.67,0.74,0.84,0.5421428571428571,1746692653.1955884,uniform,KNeighborsClassifier,,,9,,,,manhattan,,,,,,,,
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.5,FunctionTransformer,,,7.3909759521484375e-06,already_evaluated,0.03349909782409668,0.76_0.62_0.28_0.82_0.62,0.58_0.55_0.54_0.55_0.5,0.006425094604492187,0.6193267651888341,0.81,0.93,0.7,0.8,0.5442857142857143,1746692653.270125,distance,KNeighborsClassifier,,,5,,,,minkowski,,,,,,,,
NearMiss,3,,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,6.67572021484375e-06,already_evaluated,0.002813577651977539,0.0_0.36_0.41_0.62_0.0,0.64_0.61_0.6_0.57_0.61,0.40535588264465333,0.27832512315270935,0.47,0.91,0.46,0.53,0.6057142857142858,1746692653.3472085,,MLPClassifier,lbfgs,25,,5,,,,,,,invscaling,,,0.0001,tanh
SMOTE,,5,rebalancing_features_normalization_mitigation_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.5,PCA,3,,5.0067901611328125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692653.4212103,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,FunctionTransformer,,,6.9141387939453125e-06,already_evaluated,0.00709066390991211,0.93_0.97_1.0_0.93_0.95,0.52_0.51_0.5_0.52_0.5,0.03117847442626953,0.9566562173458724,0.97,1.0,1.0,0.99,0.5092857142857142,1746692653.5335011,,RandomForestClassifier,,,,,25,3,,6,2,3,,gini,False,,
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,2,5.245208740234375e-06,already_evaluated,0.009201145172119141,0.77_0.31_0.68_0.83_0.72,0.57_0.55_0.51_0.52_0.51,1.0743906497955322,0.6610570410857767,0.69,0.96,0.74,0.79,0.5328571428571428,1746692653.6351411,,RandomForestClassifier,,,,,50,4,,3,4,5,,entropy,False,,
NearMiss,1,,rebalancing_features_mitigation_normalization_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,PCA,3,,9.298324584960938e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746692653.7118435,distance,KNeighborsClassifier,,,7,,,,euclidean,,,,,,,,
