rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,8.106231689453125e-06,already_evaluated,0.005533266067504883,,,0.9236709594726562,-inf,-inf,-inf,-inf,-inf,-inf,1746695150.9403028,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,6.67572021484375e-06,already_evaluated,0.004227447509765625,0.52_1.0_1.0_0.64_1.0,0.53_0.5_0.5_0.52_0.5,0.14763851165771485,0.8307210031347962,0.86,1.0,1.0,0.93,0.5097619047619047,1746695150.9519734,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,7.152557373046875e-06,already_evaluated,0.004440784454345703,0.2_0.4_0.4_0.74_0.62,0.6_0.6_0.59_0.6_0.61,0.06777734756469726,0.47333855799373037,0.75,0.59,0.58,0.78,0.5988095238095238,1746695150.9720502,,MLPClassifier,lbfgs,5,,10,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,4,3.814697265625e-06,already_evaluated,0.004378080368041992,0.8_0.75_0.93_0.83_0.91,0.54_0.56_0.51_0.52_0.53,0.017955207824707033,0.8446917450365726,0.9,0.96,0.92,0.92,0.5295238095238095,1746695150.9853594,,RandomForestClassifier,,,,,10,4,,4,1,3,,gini,True,,
SMOTE,,6,normalization_features_mitigation_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,10,0.5,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.038685274124145505,0.85_1.0_0.97_0.83_0.83,0.54_0.5_0.5_0.51_0.52,0.8792676448822021,0.8964367816091954,0.93,1.0,0.92,0.94,0.5152380952380952,1746695151.000711,distance,KNeighborsClassifier,,,14,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.5,50,0.1,,PCA,2,,7.62939453125e-06,already_evaluated,0.005988121032714844,0.86_0.75_0.93_0.83_0.91,0.54_0.57_0.5_0.52_0.53,1.0819210529327392,0.8559561128526646,0.88,1.0,0.92,0.93,0.5314285714285714,1746695151.0187345,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,relu
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,False,,True,RobustScaler,FunctionTransformer,,,,,PCA,4,,3.337860107421875e-06,already_evaluated,0.006528425216674805,0.75_0.75_0.92_0.83_0.72,0.52_0.59_0.51_0.52_0.52,0.12736053466796876,0.7948717948717949,0.84,0.98,0.84,0.94,0.5316666666666666,1746695151.0369797,,RandomForestClassifier,,,,,50,5,,4,4,5,,gini,False,,
SMOTE,,5,normalization_mitigation_rebalancing_features_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,200,0.1,,FunctionTransformer,,,3.0994415283203125e-06,already_evaluated,0.008290338516235351,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,0.7482775688171387,-inf,-inf,-inf,-inf,-inf,0.5,1746695151.057644,,MLPClassifier,sgd,25,,20,,,,,,,invscaling,,,0.0001,logistic
NearMiss,1,,rebalancing_features_mitigation_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.004627895355224609,0.42_0.72_0.56_0.53_0.46,0.6_0.61_0.56_0.57_0.6,0.2489293098449707,0.5381800766283525,0.63,0.75,0.67,0.82,0.5880952380952381,1746695151.0779681,,MLPClassifier,sgd,25,,1,,,,,,,adaptive,,,1e-05,logistic
NearMiss,3,,normalization_features_mitigation_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.016149425506591798,0.42_0.58_0.56_0.21_0.0,0.56_0.55_0.49_0.49_0.5,0.022918319702148436,0.3544932079414838,0.58,0.98,0.37,0.65,0.5197619047619048,1746695151.101349,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,100,0.1,,PCA,1,,4.76837158203125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746695151.1255522,uniform,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,5,rebalancing_mitigation_normalization_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.06601667404174805,0.0_0.0_0.4_0.0_0.0,0.66_0.68_0.67_0.62_0.64,0.056438255310058597,0.07909090909090907,0.92,0.54,0.1,0.49,0.6516666666666666,1746695151.1534028,uniform,KNeighborsClassifier,,,8,,,,minkowski,,,,,,,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,3.814697265625e-06,already_evaluated,0.024311161041259764,0.0_0.0_0.34_0.25_0.0,0.63_0.62_0.6_0.61_0.64,0.029097557067871094,0.11818181818181817,0.51,1.0,0.15,0.46,0.6207142857142858,1746695151.1818297,uniform,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,6,features_mitigation_normalization_rebalancing_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.020276498794555665,0.22_0.31_0.35_0.56_0.52,0.53_0.54_0.51_0.54_0.5,0.008699750900268555,0.39012311762311763,0.69,0.74,0.39,0.67,0.5242857142857144,1746695151.2136767,distance,KNeighborsClassifier,,,5,,,,manhattan,,,,,,,,
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,6,,3.5762786865234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746695151.2450576,,MLPClassifier,sgd,25,,1,,,,,,,invscaling,,,0.01,logistic
FunctionTransformer,,,normalization_rebalancing_features_mitigation_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,10,2.0,,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746695151.2777689,,RandomForestClassifier,,,,,100,6,,4,4,5,,gini,False,,
FunctionTransformer,,,normalization_features_mitigation_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,1.0,PCA,7,,4.291534423828125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746695151.311453,,MLPClassifier,adam,5,,10,,,,,,,constant,,,0.01,relu
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,10,3.5762786865234375e-06,already_evaluated,0.004046630859375,1.0_1.0_1.0_1.0_0.83,0.5_0.5_0.5_0.5_0.49,0.019205379486083984,0.9666666666666666,1.0,1.0,0.97,0.99,0.49857142857142855,1746695151.3479128,,RandomForestClassifier,,,,,10,4,,3,2,3,,gini,True,,
FunctionTransformer,,,features_rebalancing_normalization_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.00483856201171875,0.44_0.35_0.48_0.4_0.53,0.64_0.65_0.62_0.63_0.63,0.38970513343811036,0.4417429809685321,0.55,0.62,0.65,0.73,0.6342857142857142,1746695151.3874218,,MLPClassifier,lbfgs,5,,20,,,,,,,adaptive,,,0.0001,relu
SMOTE,,6,rebalancing_features_normalization_mitigation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,,FunctionTransformer,,,1.1920928955078125e-05,already_evaluated,0.011072683334350585,0.62_0.3_0.31_0.41_0.63,0.55_0.53_0.54_0.55_0.52,0.01522655487060547,0.4573014629049112,0.65,0.71,0.6,0.7,0.536904761904762,1746695151.440168,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,7,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,5.9604644775390625e-06,already_evaluated,0.030367612838745117,0.4_0.69_0.6_0.41_0.26,0.62_0.49_0.52_0.52_0.57,0.01306304931640625,0.47376166617545923,0.62,0.78,0.73,0.65,0.5442857142857143,1746695151.4923868,distance,KNeighborsClassifier,,,3,,,,minkowski,,,,,,,,
FunctionTransformer,,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,1.0,,PCA,1,,5.245208740234375e-06,already_evaluated,0.005387163162231446,0.79_0.75_1.0_1.0_0.91,0.54_0.56_0.5_0.5_0.53,0.8896064758300781,0.888961038961039,0.93,0.97,0.91,0.94,0.5261904761904762,1746695151.5373774,,MLPClassifier,lbfgs,5,,5,,,,,,,constant,,,0.0001,logistic
