rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,2,,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,4.656958103179932,fail,0.005533266067504883,,,0.9236709594726562,-inf,-inf,-inf,-inf,-inf,-inf,1746692613.7068558,uniform,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,4,,2.0065104961395264,success,0.0043108463287353516,0.0_0.38_0.17_0.36_0.0,0.6_0.6_0.65_0.61_0.61,0.36779155731201174,0.18207625707625705,0.54,0.85,0.4,0.55,0.6147619047619047,1746692608.7294598,,MLPClassifier,sgd,25,,1,,,,,,,adaptive,,,0.0001,relu
SMOTE,,6,normalization_rebalancing_mitigation_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,SelectKBest,,6,0.8959991931915283,success,0.004963541030883789,0.0_0.53_0.0_0.62_0.0,0.68_0.64_0.71_0.69_0.7,0.13817238807678223,0.22999999999999998,0.77,0.77,0.32,0.64,0.6845238095238095,1746692606.3937342,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
NearMiss,4,,rebalancing_normalization_mitigation_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,SelectKBest,,6,1.290170431137085,success,0.010296201705932618,0.0_0.0_0.0_0.0_0.0,0.71_0.67_0.74_0.61_0.61,0.20590643882751464,0.0,0.8,0.45,0.09,0.79,0.6683333333333333,1746692605.1792965,,RandomForestClassifier,,,,,100,6,,6,4,4,,entropy,True,,
FunctionTransformer,,,mitigation_normalization_features_rebalancing_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,SelectKBest,,1,0.9081466197967529,success,0.004227447509765625,0.52_1.0_1.0_0.64_1.0,0.53_0.5_0.5_0.52_0.5,0.14763851165771485,0.8307210031347962,0.86,1.0,1.0,0.93,0.5097619047619047,1746692603.5739036,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,FunctionTransformer,,,0.5071828365325928,success,0.004440784454345703,0.2_0.4_0.4_0.74_0.62,0.6_0.6_0.59_0.6_0.61,0.06777734756469726,0.47333855799373037,0.75,0.59,0.58,0.78,0.5988095238095238,1746692597.4082062,,MLPClassifier,lbfgs,5,,10,,,,,,,adaptive,,,1e-05,tanh
FunctionTransformer,,,normalization_rebalancing_mitigation_features_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,3.221313953399658,success,0.009201765060424805,1.0_1.0_1.0_0.97_1.0,0.5_0.5_0.5_0.49_0.5,0.6017557144165039,0.9949999999999999,0.99,1.0,1.0,0.99,0.4978571428571429,1746692596.587061,,RandomForestClassifier,,,,,25,4,,6,3,1,,entropy,False,,
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,100,0.1,,PCA,4,,8.613056898117065,success,0.00995497703552246,0.0_0.53_0.6_0.38_0.65,0.6_0.57_0.54_0.57_0.6,1.6777926921844482,0.4332183908045977,0.61,0.76,0.54,0.72,0.5769047619047618,1746692593.036531,,RandomForestClassifier,,,,,25,2,,4,2,1,,entropy,True,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.75,SelectKBest,,2,0.5401303768157959,success,0.0054623126983642575,0.0_0.0_0.0_0.0_0.0,0.64_0.67_0.7_0.65_0.72,0.06433782577514649,0.0,0.9,0.13,0.21,0.4,0.6764285714285714,1746692584.0398192,,RandomForestClassifier,,,,,25,4,,4,2,3,,entropy,True,,
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,6,,0.4844319820404053,success,0.008011150360107421,0.44_0.4_0.4_0.0_0.34,0.63_0.62_0.64_0.65_0.71,0.05512590408325195,0.3160939060939061,0.73,0.41,0.76,0.68,0.65,1746692583.110405,distance,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,
